sex,location,year,unemployment
F,PL,2017,4.9
F,PT,2017,9.4
F,RO,2017,4
F,RS,2017,14.4
F,SE,2017,6.4
F,SI,2017,7.5
F,SK,2017,8.4
F,TR,2017,13.9
F,UK,2017,4.2
M,AT,2017,5.9
M,BE,2017,7.1
M,BG,2017,6.4
M,CH,2017,4.6
M,CY,2017,10.9
M,CZ,2017,2.3
M,DE,2017,4.1
M,DK,2017,5.6
M,EE,2017,6.2
M,EL,2017,17.8
M,ES,2017,15.7
M,FI,2017,8.9
M,FR,2017,9.5
M,HR,2017,10.6
M,HU,2017,3.8
M,IE,2017,7.1
M,IS,2017,2.8
M,IT,2017,10.4
M,LT,2017,8.6
M,LU,2017,5.6
M,LV,2017,9.8
M,ME,2017,15.4
M,MK,2017,22.8
M,MT,2017,3.8
M,NL,2017,4.5
M,NO,2017,4.6
M,PL,2017,4.9
M,PT,2017,8.5
M,RO,2017,5.6
M,RS,2017,13
M,SE,2017,7
M,SI,2017,5.8
M,SK,2017,7.9
M,TR,2017,9.4
M,UK,2017,4.5
T,AT,2017,5.5
T,BE,2017,7.1
T,BG,2017,6.2
T,CH,2017,4.8
T,CY,2017,11.1
T,CZ,2017,2.9
T,DE,2017,3.8
T,DK,2017,5.8
T,EE,2017,5.8
T,EL,2017,21.5
T,ES,2017,17.2
T,FI,2017,8.6
T,FR,2017,9.5
T,HR,2017,11.2
T,HU,2017,4.2
T,IE,2017,6.7
T,IS,2017,2.7
T,IT,2017,11.2
T,LT,2017,7.1
T,LU,2017,5.5
T,LV,2017,8.7
T,ME,2017,16.1
T,MK,2017,22.4
T,MT,2017,4
T,NL,2017,4.9
T,NO,2017,4.2
T,PL,2017,4.9
T,PT,2017,9
T,RO,2017,4.9
T,RS,2017,13.6
T,SE,2017,6.7
T,SI,2017,6.6
T,SK,2017,8.1
T,TR,2017,10.9
T,UK,2017,4.3
F,AT,2016,5.6
F,BE,2016,7.6
F,BG,2016,7
F,CH,2016,5
F,CY,2016,13.4
F,CZ,2016,4.7
F,DE,2016,3.8
F,DK,2016,6.4
F,EE,2016,6.1
F,EL,2016,28.1
F,ES,2016,21.4
F,FI,2016,8.6
F,FR,2016,9.9
F,HR,2016,13.8
F,HU,2016,5.1
F,IE,2016,7.6
F,IS,2016,3
F,IT,2016,12.8
F,LT,2016,6.7
F,LU,2016,6.6
F,LV,2016,8.4
F,ME,2016,17.1
F,MK,2016,22.8
F,MT,2016,5.2
F,NL,2016,6.5
F,NO,2016,3.9
F,PL,2016,6.2
F,PT,2016,11.3
F,RO,2016,5
F,RS,2016,16.2
F,SE,2016,6.6
F,SI,2016,8.6
F,SK,2016,10.8
F,TR,2016,13.7
F,UK,2016,4.7
M,AT,2016,6.5
M,BE,2016,8.1
M,BG,2016,8.1
M,CH,2016,4.9
M,CY,2016,12.7
M,CZ,2016,3.4
M,DE,2016,4.5
M,DK,2016,5.6
M,EE,2016,7.4
M,EL,2016,19.9
M,ES,2016,18.1
M,FI,2016,9
M,FR,2016,10.3
M,HR,2016,12.5
M,HU,2016,5.1
M,IE,2016,9.1
M,IS,2016,2.9
M,IT,2016,10.9
M,LT,2016,9.1
M,LU,2016,6
M,LV,2016,10.9
M,ME,2016,18.3
M,MK,2016,24.4
M,MT,2016,4.4
M,NL,2016,5.6
M,NO,2016,5.4
M,PL,2016,6.1
M,PT,2016,11.1
M,RO,2016,6.6
M,RS,2016,14.8
M,SE,2016,7.4
M,SI,2016,7.5
M,SK,2016,8.8
M,TR,2016,9.6
M,UK,2016,5
T,AT,2016,6
T,BE,2016,7.8
T,BG,2016,7.6
T,CH,2016,5
T,CY,2016,13
T,CZ,2016,4
T,DE,2016,4.1
T,DK,2016,6
T,EE,2016,6.8
T,EL,2016,23.6
T,ES,2016,19.6
T,FI,2016,8.8
T,FR,2016,10.1
T,HR,2016,13.1
T,HU,2016,5.1
T,IE,2016,8.4
T,IS,2016,3
T,IT,2016,11.7
T,LT,2016,7.9
T,LU,2016,6.3
T,LV,2016,9.6
T,ME,2016,17.8
T,MK,2016,23.7
T,MT,2016,4.7
T,NL,2016,6
T,NO,2016,4.7
T,PL,2016,6.2
T,PT,2016,11.2
T,RO,2016,5.9
T,RS,2016,15.4
T,SE,2016,7
T,SI,2016,8
T,SK,2016,9.7
T,TR,2016,10.9
T,UK,2016,4.8
F,AT,2015,5.3
F,BE,2015,7.8
F,BG,2015,8.4
F,CH,2015,4.9
F,CY,2015,14.8
F,CZ,2015,6.1
F,DE,2015,4.2
F,DK,2015,6.5
F,EE,2015,6.1
F,EL,2015,28.9
F,ES,2015,23.6
F,FI,2015,8.8
F,FR,2015,10
F,HR,2015,16.9
F,HU,2015,7
F,IE,2015,8.9
F,IS,2015,4.1
F,IT,2015,12.7
F,LT,2015,8.2
F,LU,2015,7.4
F,LV,2015,8.6
F,ME,2015,17.3
F,MK,2015,25.1
F,MT,2015,5.4
F,NL,2015,7.3
F,NO,2015,4
F,PL,2015,7.7
F,PT,2015,12.8
F,RO,2015,5.8
F,RS,2015,18.8
F,SE,2015,7.3
F,SI,2015,10.1
F,SK,2015,12.9
F,TR,2015,12.6
F,UK,2015,5.1
M,AT,2015,6.1
M,BE,2015,9.1
M,BG,2015,9.8
M,CH,2015,4.7
M,CY,2015,15.1
M,CZ,2015,4.2
M,DE,2015,5
M,DK,2015,6.1
M,EE,2015,6.2
M,EL,2015,21.8
M,ES,2015,20.8
M,FI,2015,9.9
M,FR,2015,10.8
M,HR,2015,15.6
M,HU,2015,6.6
M,IE,2015,10.8
M,IS,2015,3.9
M,IT,2015,11.4
M,LT,2015,10.1
M,LU,2015,6.1
M,LV,2015,11.1
M,ME,2015,17.8
M,MK,2015,26.8
M,MT,2015,5.4
M,NL,2015,6.5
M,NO,2015,4.6
M,PL,2015,7.3
M,PT,2015,12.4
M,RO,2015,7.5
M,RS,2015,16.9
M,SE,2015,7.6
M,SI,2015,8.1
M,SK,2015,10.3
M,TR,2015,9.2
M,UK,2015,5.5
T,AT,2015,5.7
T,BE,2015,8.5
T,BG,2015,9.2
T,CH,2015,4.8
T,CY,2015,15
T,CZ,2015,5.1
T,DE,2015,4.6
T,DK,2015,6.3
T,EE,2015,6.2
T,EL,2015,24.9
T,ES,2015,22.1
T,FI,2015,9.4
T,FR,2015,10.4
T,HR,2015,16.2
T,HU,2015,6.8
T,IE,2015,10
T,IS,2015,4
T,IT,2015,11.9
T,LT,2015,9.1
T,LU,2015,6.7
T,LV,2015,9.9
T,ME,2015,17.6
T,MK,2015,26.1
T,MT,2015,5.4
T,NL,2015,6.9
T,NO,2015,4.3
T,PL,2015,7.5
T,PT,2015,12.6
T,RO,2015,6.8
T,RS,2015,17.8
T,SE,2015,7.4
T,SI,2015,9
T,SK,2015,11.5
T,TR,2015,10.3
T,UK,2015,5.3
F,AT,2014,5.4
F,BE,2014,7.9
F,BG,2014,10.4
F,CH,2014,5
F,CY,2014,15.1
F,CZ,2014,7.4
F,DE,2014,4.6
F,DK,2014,7.1
F,EE,2014,6.8
F,EL,2014,30.2
F,ES,2014,25.4
F,FI,2014,8
F,FR,2014,10.1
F,HR,2014,18.3
F,HU,2014,7.9
F,IE,2014,10.9
F,IS,2014,4.8
F,IT,2014,13.8
F,LT,2014,9.2
F,LU,2014,5.8
F,LV,2014,9.8
F,ME,2014,18.2
F,MK,2014,28.6
F,MT,2014,5.1
F,NL,2014,7.8
F,NO,2014,3.2
F,PL,2014,9.6
F,PT,2014,14.5
F,RO,2014,6.1
F,RS,2014,20.5
F,SE,2014,7.7
F,SI,2014,10.6
F,SK,2014,13.6
F,TR,2014,11.9
F,UK,2014,5.8
M,AT,2014,5.9
M,BE,2014,9
M,BG,2014,12.3
M,CH,2014,4.7
M,CY,2014,17.1
M,CZ,2014,5.1
M,DE,2014,5.3
M,DK,2014,6.7
M,EE,2014,7.9
M,EL,2014,23.7
M,ES,2014,23.6
M,FI,2014,9.3
M,FR,2014,10.5
M,HR,2014,16.5
M,HU,2014,7.6
M,IE,2014,12.7
M,IS,2014,5
M,IT,2014,11.9
M,LT,2014,12.2
M,LU,2014,5.9
M,LV,2014,11.8
M,ME,2014,17.8
M,MK,2014,27.7
M,MT,2014,6.1
M,NL,2014,7.2
M,NO,2014,3.7
M,PL,2014,8.5
M,PT,2014,13.7
M,RO,2014,7.3
M,RS,2014,18.5
M,SE,2014,8.2
M,SI,2014,9
M,SK,2014,12.8
M,TR,2014,9.1
M,UK,2014,6.4
T,AT,2014,5.6
T,BE,2014,8.5
T,BG,2014,11.4
T,CH,2014,4.9
T,CY,2014,16.1
T,CZ,2014,6.1
T,DE,2014,5
T,DK,2014,6.9
T,EE,2014,7.4
T,EL,2014,26.5
T,ES,2014,24.5
T,FI,2014,8.7
T,FR,2014,10.3
T,HR,2014,17.3
T,HU,2014,7.7
T,IE,2014,11.9
T,IS,2014,4.9
T,IT,2014,12.7
T,LT,2014,10.7
T,LU,2014,5.9
T,LV,2014,10.8
T,ME,2014,18
T,MK,2014,28
T,MT,2014,5.7
T,NL,2014,7.4
T,NO,2014,3.5
T,PL,2014,9
T,PT,2014,14.1
T,RO,2014,6.8
T,RS,2014,19.4
T,SE,2014,8
T,SI,2014,9.7
T,SK,2014,13.2
T,TR,2014,9.9
T,UK,2014,6.1
F,AT,2013,5.3
F,BE,2013,8.2
F,BG,2013,11.8
F,CH,2013,4.9
F,CY,2013,15.2
F,CZ,2013,8.3
F,DE,2013,4.9
F,DK,2013,7.7
F,EE,2013,8.2
F,EL,2013,31.4
F,ES,2013,26.7
F,FI,2013,7.5
F,FR,2013,10.3
F,HR,2013,16.8
F,HU,2013,10.1
F,IE,2013,12.4
F,IS,2013,5.1
F,IT,2013,13.1
F,LT,2013,10.5
F,LU,2013,6.4
F,LV,2013,11.1
F,ME,2013,18.8
F,MK,2013,29
F,MT,2013,6.1
F,NL,2013,7.3
F,NO,2013,3.2
F,PL,2013,11.1
F,PT,2013,16.6
F,RO,2013,6.3
F,RS,2013,23.9
F,SE,2013,7.9
F,SI,2013,10.9
F,SK,2013,14.5
F,TR,2013,10.6
F,UK,2013,7.1
M,AT,2013,5.4
M,BE,2013,8.7
M,BG,2013,13.9
M,CH,2013,4.6
M,CY,2013,16.6
M,CZ,2013,5.9
M,DE,2013,5.5
M,DK,2013,7.1
M,EE,2013,9.1
M,EL,2013,24.5
M,ES,2013,25.6
