State,StateCode,CityCodeSmall,CityCode,CityName,Population2020,EducationCouncilExists,NurseTechnicians,Nurses,CommunityHealthAgents,Physicians
RS,43,17103,4317103,Sant'Ana do Livramento,"76,321",Sim,0,11,61,13
RS,43,17202,4317202,Santa Rosa,"73,575",Sim,76,25,88,22
RS,43,17251,4317251,Santa Tereza,"1,726",Sim,3,1,4,1
RS,43,17301,4317301,Santa Vitória do Palmar,"29,483",Sim,15,15,30,15
RS,43,17400,4317400,Santiago,"49,360",Sim,22,11,66,11
RS,43,17509,4317509,Santo Ângelo,"77,568",Sim,9,9,32,11
RS,43,17558,4317558,Santo Antônio do Palma,"2,123",Sim,1,1,5,1
RS,43,17608,4317608,Santo Antônio da Patrulha,"43,171",Sim,24,8,45,8
RS,43,17707,4317707,Santo Antônio das Missões,"10,050",Sim,3,3,32,3
RS,43,17756,4317756,Santo Antônio do Planalto,"2,019",Sim,3,1,6,1
RS,43,17806,4317806,Santo Augusto,"13,848",Sim,12,6,28,6
RS,43,17905,4317905,Santo Cristo,"14,216",Sim,6,6,20,4
RS,43,17954,4317954,Santo Expedito do Sul,"2,305",Sim,1,1,6,1
RS,43,18002,4318002,São Borja,"60,019",Sim,14,16,108,14
RS,43,18051,4318051,São Domingos do Sul,"3,083",Sim,1,1,8,1
RS,43,18101,4318101,São Francisco de Assis,"18,205",Sim,8,4,38,4
RS,43,18200,4318200,São Francisco de Paula,"21,801",Sim,14,5,18,5
RS,43,18309,4318309,São Gabriel,"62,147",Sim,17,17,107,15
RS,43,18408,4318408,São Jerônimo,"24,412",Sim,3,3,18,3
RS,43,18424,4318424,São João da Urtiga,"4,641",Sim,1,1,12,1
RS,43,18432,4318432,São João do Polêsine,"2,543",Sim,1,1,6,1
RS,43,18440,4318440,São Jorge,"2,816",Sim,3,1,7,2
RS,43,18457,4318457,São José das Missões,"2,514",Sim,2,1,0,1
RS,43,18465,4318465,São José do Herval,"1,943",Sim,2,2,6,2
RS,43,18481,4318481,São José do Hortêncio,"4,865",Sim,1,1,9,1
RS,43,18499,4318499,São José do Inhacorá,"2,056",Sim,3,1,6,2
RS,43,18507,4318507,São José do Norte,"27,721",Sim,6,6,29,6
RS,43,18606,4318606,São José do Ouro,"6,922",Sim,2,1,8,1
RS,43,18614,4318614,São José do Sul,"2,437",Sim,2,1,8,1
RS,43,18622,4318622,São José dos Ausentes,"3,543",Sim,2,2,8,3
RS,43,18705,4318705,São Leopoldo,"238,648",Sim,20,13,79,13
RS,43,18804,4318804,São Lourenço do Sul,"43,540",Sim,17,17,69,15
RS,43,18903,4318903,São Luiz Gonzaga,"33,293",Sim,18,11,68,10
RS,43,19000,4319000,São Marcos,"21,658",Sim,5,3,17,3
RS,43,19109,4319109,São Martinho,"5,380",Sim,8,3,15,2
RS,43,19125,4319125,São Martinho da Serra,"3,231",Sim,1,1,9,1
RS,43,19158,4319158,São Miguel das Missões,"7,683",Sim,4,3,19,3
RS,43,19208,4319208,São Nicolau,"5,208",Sim,10,4,16,2
RS,43,19307,4319307,São Paulo das Missões,"5,720",Sim,4,3,13,3
RS,43,19356,4319356,São Pedro da Serra,"3,842",Sim,1,1,8,1
RS,43,19364,4319364,São Pedro das Missões,"2,017",Sim,2,1,5,1
RS,43,19372,4319372,São Pedro do Butiá,"2,949",Sim,3,2,7,2
RS,43,19406,4319406,São Pedro do Sul,"16,148",Sim,7,5,33,5
RS,43,19505,4319505,São Sebastião do Caí,"25,959",Sim,7,6,20,7
RS,43,19604,4319604,São Sepé,"23,555",Sim,12,7,39,7
RS,43,19703,4319703,São Valentim,"3,259",Sim,2,2,10,2
RS,43,19711,4319711,São Valentim do Sul,"2,245",Sim,2,2,5,1
RS,43,19737,4319737,São Valério do Sul,"2,729",Sim,3,2,5,1
RS,43,19752,4319752,São Vendelino,"2,266",Sim,1,1,5,1
RS,43,19802,4319802,São Vicente do Sul,"8,732",Sim,4,4,8,5
RS,43,19901,4319901,Sapiranga,"80,037",Sim,14,7,37,8
RS,43,20008,4320008,Sapucaia do Sul,"141,808",Sim,84,24,109,35
RS,43,20107,4320107,Sarandi,"24,763",Sim,6,3,23,3
RS,43,20206,4320206,Seberi,"10,713",Sim,5,5,24,4
RS,43,20230,4320230,Sede Nova,"2,891",Sim,3,2,8,2
RS,43,20263,4320263,Segredo,"7,444",Sim,7,3,17,3
RS,43,20305,4320305,Selbach,"5,107",Sim,1,2,6,1
RS,43,20321,4320321,Senador Salgado Filho,"2,770",Sim,3,2,7,2
RS,43,20354,4320354,Sentinela do Sul,"5,609",Sim,1,1,4,1
RS,43,20404,4320404,Serafina Corrêa,"17,795",Sim,10,8,27,13
RS,43,20453,4320453,Sério,"1,924",Sim,3,1,6,1
RS,43,20503,4320503,Sertão,"5,315",Sim,3,3,18,3
RS,43,20552,4320552,Sertão Santana,"6,537",Sim,1,1,6,1
RS,43,20578,4320578,Sete de Setembro,"1,950",Sim,4,1,6,1
RS,43,20602,4320602,Severiano de Almeida,"3,631",Sim,1,1,9,1
RS,43,20651,4320651,Silveira Martins,"2,374",Sim,1,1,4,1
RS,43,20677,4320677,Sinimbu,"10,162",Sim,2,2,18,2
RS,43,20701,4320701,Sobradinho,"15,005",Sim,7,6,28,6
RS,43,20800,4320800,Soledade,"31,035",Sim,6,6,24,6
RS,43,20859,4320859,Tabaí,"4,769",Sim,2,2,12,2
RS,43,20909,4320909,Tapejara,"24,552",Sim,11,5,30,6
RS,43,21006,4321006,Tapera,"10,577",Sim,10,4,26,4
RS,43,21105,4321105,Tapes,"17,332",Sim,7,6,24,4
RS,43,21204,4321204,Taquara,"57,584",Sim,13,13,50,17
RS,43,21303,4321303,Taquari,"26,885",Sim,8,4,37,4
RS,43,21329,4321329,Taquaruçu do Sul,"3,077",Sim,1,1,7,1
RS,43,21352,4321352,Tavares,"5,483",Sim,1,1,9,1
RS,43,21402,4321402,Tenente Portela,"13,434",Sim,12,4,29,5
RS,43,21436,4321436,Terra de Areia,"11,315",Sim,4,2,26,2
RS,43,21451,4321451,Teutônia,"33,766",Sim,9,3,25,4
RS,43,21469,4321469,Tio Hugo,"3,055",Sim,1,1,6,1
RS,43,21477,4321477,Tiradentes do Sul,"5,616",Sim,6,2,18,2
RS,43,21493,4321493,Toropi,"2,772",Sim,4,2,7,3
RS,43,21501,4321501,Torres,"39,064",Sim,6,9,32,6
RS,43,21600,4321600,Tramandaí,"52,632",Sim,10,5,46,5
RS,43,21626,4321626,Travesseiro,"2,334",Sim,,,,
RS,43,21634,4321634,Três Arroios,"2,643",Sim,1,1,7,1
RS,43,21667,4321667,Três Cachoeiras,"11,115",Sim,7,3,20,4
RS,43,21709,4321709,Três Coroas,"28,581",Sim,4,3,14,3
RS,43,21808,4321808,Três de Maio,"23,876",Sim,37,7,42,7
RS,43,21832,4321832,Três Forquilhas,"2,669",Sim,,,,
RS,43,21857,4321857,Três Palmeiras,"4,251",Sim,9,6,10,2
RS,43,21907,4321907,Três Passos,"23,852",Sim,8,8,48,8
RS,43,21956,4321956,Trindade do Sul,"5,791",Sim,6,3,7,3
RS,43,22004,4322004,Triunfo,"29,856",Sim,20,9,68,9
RS,43,22103,4322103,Tucunduva,"5,644",Sim,5,3,16,2
RS,43,22152,4322152,Tunas,"4,577",Sim,6,2,10,2
RS,43,22186,4322186,Tupanci do Sul,"1,459",Sim,4,1,4,1
RS,43,22202,4322202,Tupanciretã,"24,068",Sim,7,3,14,3
RS,43,22251,4322251,Tupandi,"4,939",Sim,2,1,9,1
RS,43,22301,4322301,Tuparendi,"7,810",Sim,5,4,22,3
RS,43,22327,4322327,Turuçu,"3,423",Sim,2,2,9,2
RS,43,22343,4322343,Ubiretama,"1,983",Sim,6,1,6,2
RS,43,22350,4322350,União da Serra,"1,118",Sim,1,1,4,1
RS,43,22376,4322376,Unistalda,"2,321",Sim,1,1,7,1
RS,43,22400,4322400,Uruguaiana,"126,866",Sim,20,13,18,30
RS,43,22509,4322509,Vacaria,"66,575",Sim,29,13,86,13
RS,43,22525,4322525,Vale Verde,"3,515",Sim,1,1,8,2
RS,43,22533,4322533,Vale do Sol,"11,828",Sim,4,4,27,4
RS,43,22541,4322541,Vale Real,"5,981",Sim,8,3,13,3
RS,43,22558,4322558,Vanini,"2,122",Sim,2,1,4,1
RS,43,22608,4322608,Venâncio Aires,"71,973",Sim,11,8,34,8
RS,43,22707,4322707,Vera Cruz,"27,099",Sim,9,3,40,3
RS,43,22806,4322806,Veranópolis,"26,533",Sim,8,4,24,8
RS,43,22855,4322855,Vespasiano Corrêa,"1,795",Sim,1,1,6,1
RS,43,22905,4322905,Viadutos,"4,690",Sim,2,2,12,2
RS,43,23002,4323002,Viamão,"256,302",Sim,66,32,100,52
RS,43,23101,4323101,Vicente Dutra,"4,599",Sim,2,2,6,2
RS,43,23200,4323200,Victor Graeff,"2,860",Sim,0,1,8,1
RS,43,23309,4323309,Vila Flores,"3,396",Sim,1,1,7,2
RS,43,23358,4323358,Vila Lângaro,"2,080",Sim,1,1,5,1
RS,43,23408,4323408,Vila Maria,"4,363",Sim,3,1,11,1
RS,43,23457,4323457,Vila Nova do Sul,"4,277",Sim,1,2,9,1
RS,43,23507,4323507,Vista Alegre,"2,739",Sim,1,1,7,1
RS,43,23606,4323606,Vista Alegre do Prata,"1,557",Sim,1,1,4,2
RS,43,23705,4323705,Vista Gaúcha,"2,855",Sim,1,1,7,1
RS,43,23754,4323754,Vitória das Missões,"3,092",Sim,4,1,9,1
RS,43,23770,4323770,Westfália,"3,031",Sim,1,1,6,1
RS,43,23804,4323804,Xangri-lá,"16,775",Sim,3,5,23,4
