index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,pitcher_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
513,FF,2008-04-25,96.5,,,Randy Johnson,408036,116615,,ball,,,,,11,,R,R,L,SD,ARI,B,,,1,2,2008,0.9833333333333332,1.5947766666666667,-1.297,3.191,450260.0,425867.0,408311.0,1,4,Bot,,,,,,,080425_200910,-10.421,-140.136,-4.675,15.407,40.942,-13.359,3.52,1.48,,,,,,,234099,116615,,,,,,,,,,,,,,,,,36,6,4-Seam Fastball,0,5,0,5,5,0,0,5,,
532,FF,2008-08-27,96.4,,,Randy Johnson,435338,116615,strikeout,foul_tip,,,,,2,Tadahito Iguchi strikes out on foul tip.,R,R,L,SD,ARI,S,2.0,,2,2,2008,1.0232741666666667,1.1475766666666665,0.047,3.427,,,,2,7,Bot,,,,,,,080827_145420,-7.371,-140.155,-3.084,16.293,35.079,-19.102,3.442,1.391,,,,,,,235742,116615,,,,,,,,,,,,0.0,,0.0,0.0,,58,7,4-Seam Fastball,3,4,3,4,4,3,3,4,,
943,FF,2008-08-27,95.8,,,Randy Johnson,435338,116615,,foul,,,,,2,,R,R,L,SD,ARI,S,,,2,2,2008,1.1424008333333333,1.41604,-0.081,3.088,,,,2,7,Bot,,,,,,,080827_145325,-8.017,-139.214,-4.45,17.642,36.151,-15.73,3.442,1.391,,,,,,,235742,116615,,,,,,,,,,,,,,,,,58,5,4-Seam Fastball,3,4,3,4,4,3,3,4,,
996,FT,2008-08-12,95.7,,,Randy Johnson,407812,116615,,ball,,,,,11,,R,R,L,COL,ARI,B,,,1,2,2008,1.2382866666666668,1.165923333333333,-0.909,3.727,,,,0,6,Bot,,,,,,,080812_205125,-11.42,-138.883,-3.428,19.227,30.736,-18.92,3.34,1.71,,,,,,,235536,116615,,,,,,,,,,,,,,,,,51,4,2-Seam Fastball,2,4,2,4,4,2,2,4,,
999,FF,2008-04-25,95.7,,,Randy Johnson,114789,116615,,ball,,,,,12,,R,L,L,SD,ARI,B,,,2,2,2008,1.2689033333333333,1.749863333333333,0.359,3.791,,,,2,3,Bot,,,,,,,080425_194729,-6.655,-139.177,-3.946,19.037,41.259,-11.622,3.36,1.57,,,,,,,234099,116615,,,,,,,,,,,,,,,,,25,5,4-Seam Fastball,0,5,0,5,5,0,0,5,,
1001,FT,2008-04-25,95.7,,,Randy Johnson,450260,116615,,foul,,,,,8,,R,R,L,SD,ARI,S,,,2,2,2008,1.5301191666666667,1.29048,-0.202,2.139,,,,1,4,Bot,,,,,,,080425_200324,-8.673,-138.934,-6.742,22.567,40.435,-17.706,3.6,1.56,,,,,,,234099,116615,,,,,,,,,,,,,,,,,33,6,2-Seam Fastball,0,5,0,5,5,0,0,5,,
1007,FF,2008-04-25,95.7,,,Randy Johnson,150116,116615,,ball,,,,,13,,R,L,L,SD,ARI,B,,,1,2,2008,1.1501941666666669,1.3478133333333333,-1.231,2.54,,,,1,3,Bot,,,,,,,080425_194544,-10.161,-138.921,-6.026,17.374,40.822,-16.975,3.761,1.583,,,,,,,234099,116615,,,,,,,,,,,,,,,,,24,4,4-Seam Fastball,0,5,0,5,5,0,0,5,,
1096,FF,2008-08-01,95.6,,,Randy Johnson,407556,116615,,foul,,,,,3,,R,R,L,LAD,ARI,S,,,1,2,2008,1.0519425,1.882016666666667,0.466,2.886,,,425766.0,1,5,Bot,,,,,,,080801_205554,-6.863,-138.96,-6.195,16.3,36.493,-9.577,3.38,1.5,,,,,,,235388,116615,,,,,,,,,,,,,,,,,36,5,4-Seam Fastball,0,0,0,0,0,0,0,0,,
1146,FF,2008-05-06,95.5,,,Randy Johnson,400120,116615,hit_by_pitch,hit_by_pitch,,,,,13,Chris Coste hit by pitch.    Pedro Feliz to 2nd.,R,R,L,ARI,PHI,B,,,0,2,2008,0.7595533333333331,1.4653466666666668,-2.772,1.411,,,150268.0,2,2,Top,,,,,,,080506_190519,-12.079,-138.314,-9.496,12.17,35.81,-15.294,3.19,1.47,,,,,,,234252,116615,,,,,,,,,,,,0.7,,0.0,0.0,,13,4,4-Seam Fastball,1,0,0,1,0,1,0,1,,
1162,FF,2008-08-27,95.5,,,Randy Johnson,450260,116615,,foul,,,,,13,,R,R,L,SD,ARI,S,,,1,2,2008,1.0842291666666668,1.23673,-0.939,2.569,,,,2,1,Bot,,,,,,,080827_124832,-10.141,-138.637,-5.277,16.643,36.737,-18.302,3.636,1.628,,,,,,,235742,116615,,,,,,,,,,,,,,,,,6,4,4-Seam Fastball,0,0,0,0,0,0,0,0,,
1186,FT,2008-08-27,95.4,,,Randy Johnson,435338,116615,,foul_tip,,,,,5,,R,R,L,SD,ARI,S,,,1,0,2008,1.302720833333333,1.30424,0.191,2.093,,,,2,7,Bot,,,,,,,080827_145233,-7.429,-138.517,-6.873,19.453,38.864,-17.544,3.442,1.391,,,,,,,235742,116615,,,,,,,,,,,,,,,,,58,2,2-Seam Fastball,3,4,3,4,4,3,3,4,,
1311,FF,2008-06-25,95.2,,,Randy Johnson,453056,116615,,ball,,,,,13,,R,L,L,BOS,ARI,B,,,1,2,2008,1.0463758333333333,1.41647,-1.26,1.816,424825.0,,150061.0,2,2,Bot,,,,,,,080625_194051,-10.047,-138.065,-8.171,15.908,37.915,-16.129,3.478,1.657,,,,,,,234924,116615,,,,,,,,,,,,,,,,,16,4,4-Seam Fastball,1,0,1,0,0,1,1,0,,
1335,FT,2008-06-25,95.2,,,Randy Johnson,461235,116615,,ball,,,,,11,,R,L,L,BOS,ARI,B,,,0,0,2008,1.294231666666667,1.4127433333333332,-0.642,4.088,,,,2,4,Bot,,,,,,,080625_201415,-9.338,-138.274,-2.668,19.097,41.218,-16.311,3.491,1.718,,,,,,,234924,116615,,,,,,,,,,,,,,,,,30,1,2-Seam Fastball,1,0,1,0,0,1,1,0,,
1345,FF,2008-06-25,95.2,,,Randy Johnson,408211,116615,,ball,,,,,13,,R,R,L,BOS,ARI,B,,,0,1,2008,1.10747,1.44356,-1.062,1.847,136780.0,424825.0,,0,2,Bot,,,,,,,080625_193223,-10.119,-138.11,-8.287,16.769,37.525,-15.738,3.051,1.575,,,,,,,234924,116615,,,,,,,,,,,,,,,,,13,2,4-Seam Fastball,0,0,0,0,0,0,0,0,,
1383,FF,2008-04-25,95.1,,,Randy Johnson,408311,116615,hit_by_pitch,hit_by_pitch,,,,,11,Justin Huber hit by pitch.,R,R,L,SD,ARI,B,,,1,0,2008,0.77514,1.99181,-1.747,3.459,450260.0,425867.0,,1,4,Bot,,,,,,,080425_200558,-10.568,-137.967,-5.459,12.087,40.941,-8.87,3.38,1.5,,,,,,,234099,116615,,,,,,,,,,,,0.7,,0.0,0.0,,35,2,4-Seam Fastball,0,5,0,5,5,0,0,5,,
1386,FF,2008-08-27,95.1,,,Randy Johnson,430668,116615,field_out,hit_into_play,,,,,4,"Scott Hairston grounds out softly, pitcher Randy Johnson to first baseman Chad Tracy.",R,R,L,SD,ARI,X,1.0,ground_ball,3,2,2008,1.2171333333333332,1.306533333333333,-0.669,2.78,,,,0,6,Bot,122.49,179.72,,,,,080827_143333,-9.512,-138.03,-5.143,18.229,37.556,-17.563,3.472,1.356,,,,,,,235742,116615,,,,,,,,,,,,0.0,,0.0,0.0,,47,8,4-Seam Fastball,0,4,0,4,4,0,0,4,,
1416,FF,2008-06-25,95.1,,,Randy Johnson,453056,116615,,called_strike,,,,,4,,R,L,L,BOS,ARI,S,,,1,1,2008,1.1602141666666668,1.3323333333333331,-0.558,2.749,424825.0,,150061.0,2,2,Bot,,,,,,,080625_194027,-9.19,-138.074,-5.66,17.437,38.097,-17.241,3.478,1.657,,,,,,,234924,116615,,,,,,,,,,,,,,,,,16,3,4-Seam Fastball,1,0,1,0,0,1,1,0,,
1422,FF,2008-08-27,95.1,,,Randy Johnson,435338,116615,,foul,,,,,12,,R,R,L,SD,ARI,S,,,1,1,2008,1.186795,1.0903866666666664,0.663,3.839,,,,2,7,Bot,,,,,,,080827_145247,-6.598,-138.276,-1.686,17.781,39.276,-20.427,3.442,1.391,,,,,,,235742,116615,,,,,,,,,,,,,,,,,58,3,4-Seam Fastball,3,4,3,4,4,3,3,4,,
1425,FF,2008-08-01,95.1,,,Randy Johnson,120903,116615,single,hit_into_play_no_out,,,,,4,Manny Ramirez singles on a ground ball to left fielder Conor Jackson.,R,R,L,LAD,ARI,X,,ground_ball,0,1,2008,0.968025,1.51709,-0.543,2.314,,,,2,4,Bot,82.33,112.45,,,,,080801_203613,-8.568,-138.122,-6.739,14.859,37.976,-14.794,3.38,1.5,,,,,,,235388,116615,,,,,,,,,,,,0.9,,1.0,0.0,,28,2,4-Seam Fastball,0,0,0,0,0,0,0,0,,
1470,FT,2008-04-25,95.1,,,Randy Johnson,112316,116615,,ball,,,,,13,,R,R,L,SD,ARI,B,,,0,1,2008,1.4617883333333332,1.834,-1.099,1.874,425867.0,408311.0,450825.0,2,4,Bot,,,,,,,080425_201300,-10.568,-137.816,-8.268,21.109,42.151,-11.062,4.02,1.77,,,,,,,234099,116615,,,,,,,,,,,,,,,,,38,2,2-Seam Fastball,1,5,1,5,5,1,1,5,,
1471,FF,2008-04-25,95.1,,,Randy Johnson,408036,116615,,foul,,,,,12,,R,R,L,SD,ARI,S,,,1,2,2008,1.2162983333333333,1.21179,0.919,3.993,450260.0,425867.0,408311.0,1,4,Bot,,,,,,,080425_200830,-6.29,-138.318,-1.214,18.065,41.209,-18.919,3.52,1.48,,,,,,,234099,116615,,,,,,,,,,,,,,,,,36,5,4-Seam Fastball,0,5,0,5,5,0,0,5,,
1483,FF,2008-06-20,95.0,,,Randy Johnson,458210,116615,field_out,hit_into_play,,,,,2,"Alexi Casilla grounds out, second baseman Orlando Hudson to first baseman Conor Jackson.",R,R,L,MIN,ARI,X,4.0,ground_ball,2,2,2008,1.2729391666666667,1.5675433333333333,0.223,2.791,,,,1,1,Bot,138.55,153.61,,,,,080620_192519,-7.122,-138.088,-5.83,18.93,38.619,-14.183,3.142,1.274,,,,,,,234859,116615,,,,,,,,,,,,0.0,,0.0,0.0,,7,7,4-Seam Fastball,0,0,0,0,0,0,0,0,,
1499,FF,2008-08-12,95.0,,,Randy Johnson,425557,116615,single,hit_into_play_no_out,,,,,5,Jeff Baker singles on a bunt ground ball to pitcher Randy Johnson.,R,R,L,COL,ARI,X,,ground_ball,0,0,2008,1.1229175,1.0383566666666664,-0.12,2.466,,,,2,6,Bot,117.47,181.73,,,,,080812_205714,-9.184,-137.844,-6.378,17.269,31.525,-20.881,3.47,1.521,,,,,,,235536,116615,,,,,,,,,,,,0.9,,1.0,0.0,,53,1,4-Seam Fastball,2,4,2,4,4,2,2,4,,
1529,FF,2008-08-12,95.0,,,Randy Johnson,407812,116615,,foul,,,,,5,,R,R,L,COL,ARI,S,,,2,2,2008,1.0516641666666668,1.0257433333333332,-0.254,2.316,,,,0,6,Bot,,,,,,,080812_205232,-8.69,-137.861,-6.802,16.324,30.953,-21.025,3.34,1.71,,,,,,,235536,116615,,,,,,,,,,,,,,,,,51,6,4-Seam Fastball,2,4,2,4,4,2,2,4,,
1557,FF,2008-06-25,94.9,,,Randy Johnson,425903,116615,strikeout,foul_tip,,,,,6,Kevin Youkilis strikes out on foul tip.,R,R,L,BOS,ARI,S,2.0,,2,2,2008,1.1581266666666667,1.5679733333333332,0.341,2.174,,,456030.0,0,3,Bot,,,,,,,080625_195517,-6.92,-137.879,-7.475,17.326,38.547,-14.234,3.277,1.587,,,,,,,234924,116615,,,,,,,,,,,,0.0,,0.0,0.0,,22,7,4-Seam Fastball,1,0,1,0,0,1,1,0,,
1558,FF,2008-06-25,94.9,,,Randy Johnson,120903,116615,,foul,,,,,3,,R,R,L,BOS,ARI,S,,,2,2,2008,1.084925,1.41991,0.53,2.865,,,456030.0,1,3,Bot,,,,,,,080625_195859,-6.4,-137.977,-5.387,16.304,39.621,-16.204,3.275,1.581,,,,,,,234924,116615,,,,,,,,,,,,,,,,,23,5,4-Seam Fastball,1,0,1,0,0,1,1,0,,
1576,FF,2008-06-25,94.9,,,Randy Johnson,461235,116615,,ball,,,,,11,,R,L,L,BOS,ARI,B,,,0,2,2008,1.1855425,1.5060533333333332,-1.075,3.01,136780.0,424825.0,408211.0,1,6,Bot,,,,,,,080625_204942,-10.881,-137.668,-4.965,17.613,38.838,-15.121,3.491,1.718,,,,,,,234924,116615,,,,,,,,,,,,,,,,,46,3,4-Seam Fastball,1,0,1,0,0,1,1,0,,
1584,FF,2008-06-25,94.9,,,Randy Johnson,120903,116615,,ball,,,,,12,,R,R,L,BOS,ARI,B,,,0,0,2008,1.216855,1.7874166666666669,1.042,3.175,,,456030.0,2,1,Bot,,,,,,,080625_192109,-5.433,-137.939,-5.949,17.988,40.776,-11.517,3.275,1.581,,,,,,,234924,116615,,,,,,,,,,,,,,,,,7,1,4-Seam Fastball,0,0,0,0,0,0,0,0,,
1588,FT,2008-06-25,94.9,,,Randy Johnson,408211,116615,,foul,,,,,7,,R,R,L,BOS,ARI,S,,,1,1,2008,1.2782275,1.47495,-0.5,2.02,136780.0,424825.0,,0,2,Bot,,,,,,,080625_193239,-9.19,-137.718,-7.725,18.898,38.455,-15.488,3.051,1.575,,,,,,,234924,116615,,,,,,,,,,,,,,,,,13,3,2-Seam Fastball,0,0,0,0,0,0,0,0,,
1596,FF,2008-08-27,94.9,,,Randy Johnson,452989,116615,,foul,,,,,6,,R,R,L,SD,ARI,S,,,1,2,2008,0.9824983333333333,1.173663333333333,0.387,2.852,,,,2,2,Bot,,,,,,,080827_130308,-6.515,-138.073,-4.159,15.344,32.363,-19.061,3.684,1.718,,,,,,,235742,116615,,,,,,,,,,,,,,,,,12,4,4-Seam Fastball,0,0,0,0,0,0,0,0,,
1601,FF,2008-06-03,94.9,,,Randy Johnson,407849,116615,,ball,,,,,13,,R,R,L,MIL,ARI,B,,,2,2,2008,1.1282058333333331,1.433096666666667,-1.542,2.043,,,,2,4,Bot,,,,,,,080603_201259,-11.689,-137.558,-7.39,17.137,33.584,-15.794,3.38,1.5,,,,,,,234633,116615,,,,,,,,,,,,,,,,,31,8,4-Seam Fastball,0,1,0,1,1,0,0,1,,
1603,FF,2008-05-06,94.9,,,Randy Johnson,150268,116615,,ball,,,,,11,,R,R,L,ARI,PHI,B,,,1,1,2008,0.5779408333333332,1.4670666666666667,-1.567,2.553,,,,2,2,Top,,,,,,,080506_190211,-9.134,-137.815,-6.123,9.546,37.549,-15.51,3.234,1.5,,,,,,,234252,116615,,,,,,,,,,,,,,,,,12,3,4-Seam Fastball,1,0,0,1,0,1,0,1,,
1614,FF,2008-04-25,94.9,,,Randy Johnson,450260,116615,,ball,,,,,12,,R,R,L,SD,ARI,B,,,1,1,2008,1.250115833333333,1.6885166666666669,0.268,3.832,,,,1,4,Bot,,,,,,,080425_200210,-6.541,-137.992,-3.545,18.423,41.141,-12.806,3.6,1.56,,,,,,,234099,116615,,,,,,,,,,,,,,,,,33,3,4-Seam Fastball,0,5,0,5,5,0,0,5,,
1619,FT,2008-06-20,94.8,,,Randy Johnson,133226,116615,,foul,,,,,13,,R,R,L,MIN,ARI,S,,,2,2,2008,1.2709908333333333,1.6230133333333332,-0.95,2.284,,,,2,2,Bot,,,,,,,080620_194507,-9.818,-137.561,-8.01,18.692,39.31,-13.665,3.342,1.252,,,,,,,234859,116615,,,,,,,,,,,,,,,,,16,5,2-Seam Fastball,0,0,0,0,0,0,0,0,,
1623,FF,2008-06-25,94.8,,,Randy Johnson,150061,116615,,foul,,,,,5,,R,R,L,BOS,ARI,S,,,2,2,2008,0.9408875,1.64781,0.089,2.579,,,,0,5,Bot,,,,,,,080625_202954,-7.148,-137.665,-6.757,14.313,39.322,-13.313,3.152,1.655,,,,,,,234924,116615,,,,,,,,,,,,,,,,,35,6,4-Seam Fastball,1,0,1,0,0,1,1,0,,
1624,FF,2008-05-06,94.8,,,Randy Johnson,150100,116615,,ball,,,,,13,,R,R,L,ARI,PHI,B,,,0,1,2008,1.0023991666666667,1.4140333333333333,-1.594,2.065,429731.0,,,2,5,Top,,,,,,,080506_200603,-10.304,-137.497,-6.49,15.297,35.601,-16.177,3.42,1.769,,,,,,,234252,116615,,,,,,,,,,,,,,,,,43,2,4-Seam Fastball,6,3,3,6,3,6,3,6,,
1626,FF,2008-05-06,94.8,,,Randy Johnson,150268,116615,,foul,,,,,12,,R,R,L,ARI,PHI,S,,,2,2,2008,0.6661725,1.4477166666666668,0.225,3.532,,,,2,2,Top,,,,,,,080506_190240,-4.888,-137.99,-3.674,10.796,36.801,-15.674,3.256,1.5,,,,,,,234252,116615,,,,,,,,,,,,,,,,,12,5,4-Seam Fastball,1,0,0,1,0,1,0,1,,
1629,FT,2008-08-17,94.8,,,Randy Johnson,110385,116615,,foul,,,,,2,,R,R,L,HOU,ARI,S,,,2,2,2008,1.313715,1.0084,0.228,3.249,,,,1,2,Bot,,,,,,,080817_135020,-7.976,-137.798,-3.7,19.636,35.078,-21.425,3.441,1.721,,,,,,,235610,116615,,,,,,,,,,,,,,,,,14,5,2-Seam Fastball,3,0,3,0,0,3,3,0,,
1633,FF,2008-08-12,94.8,,,Randy Johnson,425557,116615,,foul,,,,,13,,R,R,L,COL,ARI,S,,,1,2,2008,1.1247266666666669,1.0104066666666665,-0.874,2.418,,,,1,4,Bot,,,,,,,080812_201020,-10.685,-137.499,-6.372,17.437,27.564,-21.165,3.47,1.521,,,,,,,235536,116615,,,,,,,,,,,,,,,,,32,5,4-Seam Fastball,2,2,2,2,2,2,2,2,,
1659,FF,2008-08-01,94.8,,,Randy Johnson,407556,116615,,ball,,,,,12,,R,R,L,LAD,ARI,B,,,0,2,2008,1.1623016666666668,1.4167566666666669,1.039,4.301,,,425766.0,1,5,Bot,,,,,,,080801_205451,-6.438,-137.912,-1.021,17.457,37.487,-16.14,3.38,1.5,,,,,,,235388,116615,,,,,,,,,,,,,,,,,36,3,4-Seam Fastball,0,0,0,0,0,0,0,0,,
1663,FF,2008-08-27,94.8,,,Randy Johnson,453527,116615,field_out,hit_into_play,,,,,2,"Sean Kazmar grounds out, third baseman Mark Reynolds to first baseman Chad Tracy.",R,R,L,SD,ARI,X,5.0,ground_ball,2,2,2008,1.2147675,1.3723233333333331,0.235,3.261,,,,1,7,Bot,107.43,171.69,,,,,080827_145140,-7.035,-137.796,-4.221,18.221,36.111,-16.678,3.519,1.266,,,,,,,235742,116615,,,,,,,,,,,,0.0,,0.0,0.0,,57,5,4-Seam Fastball,3,4,3,4,4,3,3,4,,
1672,FF,2008-04-25,94.8,,,Randy Johnson,408311,116615,,ball,,,,,11,,R,R,L,SD,ARI,B,,,0,0,2008,0.9765141666666668,2.047423333333333,-1.805,2.58,450260.0,425867.0,,1,4,Bot,,,,,,,080425_200538,-11.172,-137.424,-7.624,14.721,39.491,-8.237,3.38,1.5,,,,,,,234099,116615,,,,,,,,,,,,,,,,,35,1,4-Seam Fastball,0,5,0,5,5,0,0,5,,
1674,FF,2008-04-25,94.8,,,Randy Johnson,408236,116615,,called_strike,,,,,8,,R,L,L,SD,ARI,S,,,0,0,2008,1.2014075,2.10103,-0.182,2.276,,,,2,5,Bot,,,,,,,080425_202820,-7.683,-137.632,-8.246,17.679,40.961,-7.591,3.88,1.83,,,,,,,234099,116615,,,,,,,,,,,,,,,,,44,1,4-Seam Fastball,1,5,1,5,5,1,1,5,,
1703,FF,2008-08-27,94.7,,,Randy Johnson,450260,116615,,swinging_strike,,,,,3,,R,R,L,SD,ARI,S,,,0,1,2008,1.2263183333333332,1.242033333333333,0.34,3.273,,,,2,1,Bot,,,,,,,080827_124759,-7.351,-137.737,-3.555,18.391,35.646,-18.381,3.636,1.628,,,,,,,235742,116615,,,,,,,,,,,,,,,,,6,2,4-Seam Fastball,0,0,0,0,0,0,0,0,,
1705,FT,2008-08-27,94.7,,,Randy Johnson,430668,116615,,foul,,,,,3,,R,R,L,SD,ARI,S,,,2,2,2008,1.2832375,1.3327633333333333,0.742,3.087,,,,0,1,Bot,,,,,,,080827_124533,-6.642,-137.647,-4.206,19.156,35.326,-17.192,3.472,1.422,,,,,,,235742,116615,,,,,,,,,,,,,,,,,4,6,2-Seam Fastball,0,0,0,0,0,0,0,0,,
1721,FF,2008-06-25,94.7,,,Randy Johnson,150061,116615,,foul,,,,,11,,R,R,L,BOS,ARI,S,,,1,1,2008,1.03566,1.5595166666666669,-0.232,3.858,424825.0,,408211.0,2,6,Bot,,,,,,,080625_205230,-8.532,-137.679,-3.026,15.549,39.902,-14.492,3.152,1.655,,,,,,,234924,116615,,,,,,,,,,,,,,,,,47,3,4-Seam Fastball,2,0,2,0,0,2,2,0,,
1733,FT,2008-08-12,94.7,,,Randy Johnson,425549,116615,,foul,,,,,4,,R,R,L,COL,ARI,S,,,1,2,2008,1.1955625,1.0442333333333331,-0.397,2.918,,,,0,5,Bot,,,,,,,080812_202420,-9.813,-137.542,-5.244,18.266,30.189,-20.804,3.485,1.704,,,,,,,235536,116615,,,,,,,,,,,,,,,,,39,5,2-Seam Fastball,2,2,2,2,2,2,2,2,,
1739,FT,2008-08-27,94.7,,,Randy Johnson,450260,116615,strikeout,called_strike,,,,,1,Kevin Kouzmanoff called out on strikes.,R,R,L,SD,ARI,S,2.0,,1,2,2008,1.3071741666666667,0.94519,-0.529,3.566,,,,2,6,Bot,,,,,,,080827_143600,-9.626,-137.59,-1.674,19.051,41.223,-22.508,3.636,1.641,,,,,,,235742,116615,,,,,,,,,,,,0.0,,0.0,0.0,,49,4,2-Seam Fastball,0,4,0,4,4,0,0,4,,
1741,FT,2008-08-27,94.7,,,Randy Johnson,460026,116615,,foul,,,,,1,,R,R,L,SD,ARI,S,,,1,2,2008,1.2707125,1.02775,-0.738,3.346,,,,0,3,Bot,,,,,,,080827_131552,-10.348,-137.514,-2.597,19.134,32.566,-21.122,3.565,1.307,,,,,,,235742,116615,,,,,,,,,,,,,,,,,17,5,2-Seam Fastball,0,0,0,0,0,0,0,0,,
1743,FF,2008-06-25,94.7,,,Randy Johnson,425903,116615,,foul,,,,,12,,R,R,L,BOS,ARI,S,,,0,1,2008,1.2078091666666668,1.8160833333333333,0.751,3.414,,,456030.0,1,1,Bot,,,,,,,080625_191932,-5.776,-137.633,-5.72,17.705,41.857,-11.334,3.277,1.587,,,,,,,234924,116615,,,,,,,,,,,,,,,,,6,2,4-Seam Fastball,0,0,0,0,0,0,0,0,,
1756,FF,2008-05-06,94.7,,,Randy Johnson,150268,116615,,ball,,,,,11,,R,R,L,ARI,PHI,B,,,0,1,2008,0.5993725,1.5619533333333333,-1.597,2.643,,,,2,2,Top,,,,,,,080506_190158,-9.263,-137.48,-6.202,9.763,38.083,-14.401,3.234,1.5,,,,,,,234252,116615,,,,,,,,,,,,,,,,,12,2,4-Seam Fastball,1,0,0,1,0,1,0,1,,
1779,FT,2008-04-25,94.7,,,Randy Johnson,150116,116615,,foul,,,,,6,,R,L,L,SD,ARI,S,,,1,1,2008,1.4324241666666668,1.9116866666666668,0.642,3.066,,,,1,3,Bot,,,,,,,080425_194521,-6.15,-137.678,-6.502,20.603,43.041,-10.185,3.761,1.583,,,,,,,234099,116615,,,,,,,,,,,,,,,,,24,3,2-Seam Fastball,0,5,0,5,5,0,0,5,,
1797,FT,2008-08-17,94.6,,,Randy Johnson,123173,116615,,foul,,,,,13,,R,R,L,HOU,ARI,S,,,1,2,2008,1.3106533333333332,1.3688833333333332,-0.852,2.561,,,117928.0,1,1,Bot,,,,,,,080817_133516,-10.536,-137.144,-6.897,19.391,35.008,-16.825,3.691,1.799,,,,,,,235610,116615,,,,,,,,,,,,,,,,,6,4,2-Seam Fastball,0,0,0,0,0,0,0,0,,
1805,FF,2008-08-01,94.6,,,Randy Johnson,431145,116615,,foul,,,,,5,,R,R,L,LAD,ARI,S,,,0,0,2008,1.1689816666666668,1.5787233333333333,0.071,2.707,,,,1,4,Bot,,,,,,,080801_203345,-8.159,-137.441,-6.233,17.571,34.988,-13.993,3.38,1.5,,,,,,,235388,116615,,,,,,,,,,,,,,,,,27,1,4-Seam Fastball,0,0,0,0,0,0,0,0,,
1823,FF,2008-08-12,94.6,,,Randy Johnson,407812,116615,,foul,,,,,4,,R,R,L,COL,ARI,S,,,0,1,2008,1.1252833333333332,1.191293333333333,-0.302,2.501,,,,0,6,Bot,,,,,,,080812_205042,-9.362,-137.259,-6.648,17.215,30.265,-18.9,3.34,1.71,,,,,,,235536,116615,,,,,,,,,,,,,,,,,51,2,4-Seam Fastball,2,4,2,4,4,2,2,4,,
1832,FT,2008-04-25,94.6,,,Randy Johnson,408036,116615,,swinging_strike,,,,,11,,R,R,L,SD,ARI,S,,,0,1,2008,1.5938575,1.5509166666666667,-0.147,4.053,450260.0,425867.0,408311.0,1,4,Bot,,,,,,,080425_200704,-8.899,-137.463,-2.477,22.659,42.924,-14.858,3.52,1.48,,,,,,,234099,116615,,,,,,,,,,,,,,,,,36,2,2-Seam Fastball,0,5,0,5,5,0,0,5,,
1833,FF,2008-06-25,94.6,,,Randy Johnson,425903,116615,,ball,,,,,12,,R,R,L,BOS,ARI,B,,,0,2,2008,1.1039908333333333,1.4511566666666669,0.898,3.708,,,456030.0,1,1,Bot,,,,,,,080625_191959,-6.123,-137.608,-3.264,16.476,39.348,-15.881,3.277,1.587,,,,,,,234924,116615,,,,,,,,,,,,,,,,,6,3,4-Seam Fastball,0,0,0,0,0,0,0,0,,
1838,FT,2008-04-25,94.6,,,Randy Johnson,408236,116615,,ball,,,,,13,,R,L,L,SD,ARI,B,,,0,0,2008,1.399163333333333,2.0768066666666667,-1.115,1.193,,,,2,1,Bot,,,,,,,080425_191647,-10.464,-136.95,-11.411,20.315,37.703,-7.89,3.88,1.83,,,,,,,234099,116615,,,,,,,,,,,,,,,,,7,1,2-Seam Fastball,0,0,0,0,0,0,0,0,,
1845,FF,2008-06-25,94.6,,,Randy Johnson,150061,116615,,ball,,,,,12,,R,R,L,BOS,ARI,B,,,1,1,2008,1.1927791666666667,1.45861,0.771,3.376,424825.0,,,2,2,Bot,,,,,,,080625_193648,-5.736,-137.583,-4.472,17.771,37.511,-15.682,3.152,1.655,,,,,,,234924,116615,,,,,,,,,,,,,,,,,15,3,4-Seam Fastball,1,0,1,0,0,1,1,0,,
1855,FF,2008-08-27,94.6,,,Randy Johnson,435338,116615,,ball,,,,,12,,R,R,L,SD,ARI,B,,,1,2,2008,0.9728958333333332,0.7587133333333331,1.337,4.265,,,,2,7,Bot,,,,,,,080827_145306,-4.831,-137.689,0.54,15.052,33.597,-24.695,3.442,1.391,,,,,,,235742,116615,,,,,,,,,,,,,,,,,58,4,4-Seam Fastball,3,4,3,4,4,3,3,4,,
