index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,pitcher_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
17263,SL,2008-05-29,82.8,,,Randy Johnson,425489,116615,,foul,,,,,7,,R,R,L,ARI,SF,S,,,0,1,2008,-0.1473958333333333,0.8197733333333331,-0.737,1.936,,,,1,1,Top,,,,,,,080529_184130,-5.979,-120.435,-4.233,-0.189,17.171,-25.569,3.42,1.5,,,,,,,234572,116615,,,,,,,,,,,,,,,,,2,2,Slider,0,0,0,0,0,0,0,0,,
17265,SL,2008-05-29,82.8,,,Randy Johnson,123744,116615,,ball,,,,,12,,R,R,L,ARI,SF,B,,,0,1,2008,-0.12095416666666665,0.5140433333333332,1.436,2.646,,,113660.0,0,6,Top,,,,,,,080529_200202,-1.636,-120.615,-1.762,0.099,15.65,-28.758,3.16,1.46,,,,,,,234572,116615,,,,,,,,,,,,,,,,,44,2,Slider,2,2,2,2,2,2,2,2,,
17266,SL,2008-09-13,82.8,,,Randy Johnson,433898,116615,field_out,hit_into_play,,,,,7,Jeff Keppinger flies out to left fielder Adam Dunn.,R,R,L,ARI,CIN,X,7.0,fly_ball,1,1,2008,-0.1181708333333333,0.85618,-0.523,2.027,,,,0,3,Top,83.33,66.27,,,,,080913_180308,-6.756,-120.298,-3.844,0.127,18.592,-25.245,3.658,1.601,,,,,,,235969,116615,,,,,,,,,,,,0.0,,0.0,0.0,,19,3,Slider,0,1,1,0,1,0,1,0,,
17277,FS,2008-09-13,82.8,,,Randy Johnson,150020,116615,field_out,hit_into_play,,,,,9,Jerry Hairston flies out to left fielder Adam Dunn.,R,R,L,ARI,CIN,X,7.0,fly_ball,1,1,2008,1.2146283333333332,0.7595733333333331,0.701,1.952,,,,0,5,Top,87.35,86.35,,,,,080913_184443,-6.64,-120.322,-4.654,14.283,21.516,-26.329,3.414,1.57,,,,,,,235969,116615,,,,,,,,,,,,0.0,,0.0,0.0,,35,3,Split Finger,0,1,1,0,1,0,1,0,,
17283,SL,2008-05-24,82.7,,,Randy Johnson,453923,116615,,ball,,,,,3,,R,L,L,ATL,ARI,B,,,2,1,2008,-0.2020883333333333,0.31653,0.678,2.93,,,,0,3,Bot,,,,,,,080524_163633,-4.82,-120.407,-0.999,-0.782,17.271,-30.873,3.145,1.42,,,,,,,234495,116615,,,,,,,,,,,,,,,,,18,4,Slider,0,0,0,0,0,0,0,0,,
17298,SL,2008-08-27,82.7,,,Randy Johnson,460026,116615,,swinging_strike,,,,,8,,R,R,L,SD,ARI,S,,,2,0,2008,-0.4538408333333333,0.00564,-0.153,1.829,,,,0,5,Bot,,,,,,,080827_135914,-5.105,-120.384,-1.935,-3.338,28.247,-34.045,3.691,1.428,,,,,,,235742,116615,,,,,,,,,,,,,,,,,35,3,Slider,0,0,0,0,0,0,0,0,,
17335,SL,2008-05-29,82.7,,,Randy Johnson,123744,116615,strikeout_double_play,swinging_strike,,,,,13,"Omar Vizquel strikes out swinging and Ray Durham caught stealing 2nd, catcher Miguel Montero to shortstop Stephen Drew.",R,R,L,ARI,SF,S,2.0,,3,2,2008,-0.4994875,0.3841833333333333,-0.653,0.854,,,113660.0,0,6,Top,,,,,,,080529_200416,-4.917,-120.196,-5.18,-3.97,18.483,-30.179,3.16,1.46,,,,,,,234572,116615,,,,,,,,,,,,0.0,,0.0,0.0,,44,6,Slider,2,2,2,2,2,2,2,2,,
17370,SL,2008-04-20,82.7,,,Randy Johnson,450825,116615,hit_by_pitch,hit_by_pitch,,,,,13,Callix Crabbe hit by pitch.,R,R,L,ARI,SD,B,,,1,1,2008,-0.6573025,0.8263666666666666,-2.208,1.439,,,,2,2,Top,,,,,,,080420_133626,-7.969,-120.14,-5.058,-5.605,20.631,-25.635,3.07,1.66,,,,,,,234038,116615,,,,,,,,,,,,0.7,,0.0,0.0,,11,3,Slider,0,0,0,0,0,0,0,0,,
17388,FS,2008-09-23,82.6,,,Randy Johnson,407886,116615,,ball,,,,,14,,R,R,L,STL,ARI,B,,,0,1,2008,0.9225175,0.6874766666666666,1.151,2.58,,,,0,6,Bot,,,,,,,080923_204506,-4.571,-120.207,-3.103,10.808,28.367,-27.24,3.755,1.75,,,,,,,236102,116615,,,,,,,,,,,,,,,,,49,2,Split Finger,5,3,5,3,3,5,5,3,,
17390,SL,2008-06-09,82.6,,,Randy Johnson,424726,116615,,foul,,,,,4,,R,R,L,PIT,ARI,S,,,0,0,2008,0.33927,0.53755,-0.741,2.597,,,333292.0,0,5,Bot,,,,,,,080609_140050,-8.327,-119.93,-2.028,4.973,20.453,-28.626,3.2,1.54,,,,,,,234718,116615,,,,,,,,,,,,,,,,,40,1,Slider,2,1,2,1,1,2,2,1,,
