sex,location,year,unemployment,country
M,FRM,2019,,FR
M,FRY,2019,20.3,FR
M,HR0,2019,6.2,HR
M,HU1,2019,2.2,HU
M,HU2,2019,2.6,HU
M,HU3,2019,4.9,HU
M,IE0,2019,5.2,IE
M,IS0,2019,3.8,IS
M,ITC,2019,5.4,IT
M,ITF,2019,15.8,IT
M,ITG,2019,17.4,IT
M,ITH,2019,4.4,IT
M,ITI,2019,8,IT
M,LT0,2019,7.1,LT
M,LU0,2019,5.7,LU
M,LV0,2019,7.2,LV
M,ME0,2019,14.7,ME
M,MK0,2019,16.5,MK
M,MT0,2019,3.3,MT
M,NL1,2019,4.1,NL
M,NL2,2019,3,NL
M,NL3,2019,3.5,NL
M,NL4,2019,3.3,NL
M,NO0,2019,3.9,NO
M,PL2,2019,2.2,PL
M,PL4,2019,2.3,PL
M,PL5,2019,3.1,PL
M,PL6,2019,2.7,PL
M,PL7,2019,4,PL
M,PL8,2019,4.4,PL
M,PL9,2019,3.2,PL
M,PT1,2019,5.8,PT
M,PT2,2019,7.4,PT
M,PT3,2019,6.9,PT
M,RO1,2019,4.6,RO
M,RO2,2019,3.7,RO
M,RO3,2019,4,RO
M,RO4,2019,5.3,RO
M,RS1,2019,8.1,RS
M,RS2,2019,11.9,RS
M,SE1,2019,6.7,SE
M,SE2,2019,6.7,SE
M,SE3,2019,6.9,SE
M,SI0,2019,4,SI
M,SK0,2019,5.6,SK
M,TR1,2019,12.9,TR
M,TR2,2019,7.9,TR
M,TR3,2019,10.4,TR
M,TR4,2019,11,TR
M,TR5,2019,10.2,TR
M,TR6,2019,12.5,TR
M,TR7,2019,12.1,TR
M,TR8,2019,7.6,TR
M,TR9,2019,8.9,TR
M,TRA,2019,11.6,TR
M,TRB,2019,17.9,TR
M,TRC,2019,22.1,TR
M,UKC,2019,6.2,UK
M,UKD,2019,4.4,UK
M,UKE,2019,4.4,UK
M,UKF,2019,4.2,UK
M,UKG,2019,4.6,UK
M,UKH,2019,2.9,UK
M,UKI,2019,4.6,UK
M,UKJ,2019,3.2,UK
M,UKK,2019,2.7,UK
M,UKL,2019,3.9,UK
M,UKM,2019,3.7,UK
M,UKN,2019,3,UK
T,AT1,2019,6.6,AT
T,AT2,2019,3.4,AT
T,AT3,2019,2.7,AT
T,BE1,2019,12.6,BE
T,BE2,2019,3.2,BE
T,BE3,2019,7.2,BE
T,BG3,2019,6.1,BG
T,BG4,2019,2.5,BG
T,CH0,2019,4.4,CH
T,CY0,2019,7.1,CY
T,CZ0,2019,2,CZ
T,DE1,2019,2.4,DE
T,DE2,2019,2.1,DE
T,DE3,2019,5.3,DE
T,DE4,2019,3.4,DE
T,DE5,2019,5.1,DE
T,DE6,2019,3.6,DE
T,DE7,2019,3.1,DE
T,DE8,2019,4,DE
T,DE9,2019,3.1,DE
T,DEA,2019,3.6,DE
T,DEB,2019,2.8,DE
T,DEC,2019,3.7,DE
T,DED,2019,3.9,DE
T,DEE,2019,4.6,DE
T,DEF,2019,2.9,DE
T,DEG,2019,3.7,DE
T,DK0,2019,5,DK
T,EE0,2019,4.4,EE
T,EL3,2019,16.9,EL
T,EL4,2019,13.3,EL
T,EL5,2019,19.1,EL
T,EL6,2019,17.8,EL
T,ES1,2019,12.1,ES
T,ES2,2019,9.3,ES
T,ES3,2019,10.6,ES
T,ES4,2019,15.3,ES
T,ES5,2019,12.2,ES
T,ES6,2019,20.3,ES
T,ES7,2019,20.5,ES
T,FI1,2019,6.7,FI
T,FI2,2019,,FI
T,FR1,2019,8.1,FR
T,FRB,2019,8.2,FR
T,FRC,2019,7.8,FR
T,FRD,2019,9.2,FR
T,FRE,2019,10.5,FR
T,FRF,2019,8,FR
T,FRG,2019,7.5,FR
T,FRH,2019,6.9,FR
T,FRI,2019,8.6,FR
T,FRJ,2019,8.4,FR
T,FRK,2019,6.7,FR
T,FRL,2019,8.8,FR
T,FRM,2019,6.4,FR
T,FRY,2019,20.6,FR
T,HR0,2019,6.6,HR
T,HU1,2019,2.4,HU
T,HU2,2019,2.7,HU
T,HU3,2019,4.8,HU
T,IE0,2019,5,IE
T,IS0,2019,3.5,IS
T,ITC,2019,6.5,IT
T,ITF,2019,17.2,IT
T,ITG,2019,18.5,IT
T,ITH,2019,5.5,IT
T,ITI,2019,8.7,IT
T,LT0,2019,6.3,LT
T,LU0,2019,5.6,LU
T,LV0,2019,6.3,LV
T,ME0,2019,15.2,ME
T,MK0,2019,17.3,MK
T,MT0,2019,3.4,MT
T,NL1,2019,3.9,NL
T,NL2,2019,3.1,NL
T,NL3,2019,3.5,NL
T,NL4,2019,3.2,NL
T,NO0,2019,3.7,NO
T,PL2,2019,2.6,PL
T,PL4,2019,2.7,PL
T,PL5,2019,3.3,PL
T,PL6,2019,3.3,PL
T,PL7,2019,3.8,PL
T,PL8,2019,4.8,PL
T,PL9,2019,3.1,PL
T,PT1,2019,6.5,PT
T,PT2,2019,7.9,PT
T,PT3,2019,7.1,PT
T,RO1,2019,4,RO
T,RO2,2019,3.7,RO
T,RO3,2019,3.7,RO
T,RO4,2019,4.4,RO
T,RS1,2019,8.7,RS
T,RS2,2019,12.4,RS
T,SE1,2019,6.6,SE
T,SE2,2019,7.1,SE
T,SE3,2019,6.8,SE
T,SI0,2019,4.5,SI
T,SK0,2019,5.8,SK
T,TR1,2019,14.8,TR
T,TR2,2019,9.9,TR
T,TR3,2019,12.2,TR
T,TR4,2019,12.3,TR
T,TR5,2019,12.4,TR
T,TR6,2019,14.2,TR
T,TR7,2019,13.9,TR
T,TR8,2019,8.5,TR
T,TR9,2019,9.9,TR
T,TRA,2019,10.4,TR
T,TRB,2019,18,TR
T,TRC,2019,22.3,TR
T,UKC,2019,5.6,UK
T,UKD,2019,4.1,UK
T,UKE,2019,4.5,UK
T,UKF,2019,4,UK
T,UKG,2019,4.5,UK
T,UKH,2019,2.9,UK
T,UKI,2019,4.3,UK
T,UKJ,2019,3,UK
T,UKK,2019,2.6,UK
T,UKL,2019,3.7,UK
T,UKM,2019,3.5,UK
T,UKN,2019,2.7,UK
F,AT1,2018,6.1,AT
F,AT2,2018,4.5,AT
F,AT3,2018,3.1,AT
F,BE1,2018,11.8,BE
F,BE2,2018,3.3,BE
F,BE3,2018,8,BE
F,BG3,2018,6.7,BG
F,BG4,2018,2.9,BG
F,CH0,2018,5.1,CH
F,CY0,2018,8.8,CY
F,CZ0,2018,2.8,CZ
F,DE1,2018,2.2,DE
F,DE2,2018,2.1,DE
F,DE3,2018,5.5,DE
F,DE4,2018,3.1,DE
F,DE5,2018,,DE
F,DE6,2018,3.6,DE
F,DE7,2018,2.5,DE
F,DE8,2018,4,DE
F,DE9,2018,2.9,DE
F,DEA,2018,3,DE
F,DEB,2018,2.6,DE
F,DEC,2018,3.1,DE
F,DED,2018,3.6,DE
F,DEE,2018,4.6,DE
F,DEF,2018,2.6,DE
F,DEG,2018,4.1,DE
F,DK0,2018,5.3,DK
F,EE0,2018,5.3,EE
F,EL3,2018,24.9,EL
F,EL4,2018,20.3,EL
F,EL5,2018,24.8,EL
F,EL6,2018,24.6,EL
F,ES1,2018,14.2,ES
F,ES2,2018,10.9,ES
F,ES3,2018,12.9,ES
F,ES4,2018,20.7,ES
F,ES5,2018,13.9,ES
F,ES6,2018,26.2,ES
F,ES7,2018,21.4,ES
F,FI1,2018,7.3,FI
F,FI2,2018,,FI
F,FR1,2018,8.4,FR
F,FRB,2018,8.2,FR
F,FRC,2018,8,FR
F,FRD,2018,8.3,FR
F,FRE,2018,10.3,FR
F,FRF,2018,9.3,FR
F,FRG,2018,8.6,FR
F,FRH,2018,7,FR
F,FRI,2018,9.1,FR
F,FRJ,2018,10.6,FR
F,FRK,2018,7.5,FR
F,FRL,2018,9,FR
F,FRM,2018,,FR
F,FRY,2018,23.8,FR
F,HR0,2018,9.4,HR
F,HU1,2018,3,HU
F,HU2,2018,3.5,HU
F,HU3,2018,5.2,HU
F,IE0,2018,5.7,IE
F,IS0,2018,2.5,IS
F,ITC,2018,8.1,IT
F,ITF,2018,20.7,IT
F,ITG,2018,21.4,IT
F,ITH,2018,7.3,IT
F,ITI,2018,10.5,IT
F,LT0,2018,5.4,LT
F,LU0,2018,5.9,LU
F,LV0,2018,6.4,LV
F,ME0,2018,15.1,ME
F,MK0,2018,19.9,MK
F,MT0,2018,3.5,MT
F,NL1,2018,5,NL
F,NL2,2018,3.9,NL
F,NL3,2018,3.9,NL
F,NL4,2018,3.6,NL
F,NO0,2018,3.5,NO
F,PL2,2018,3.2,PL
F,PL4,2018,2.8,PL
F,PL5,2018,3.5,PL
F,PL6,2018,4.2,PL
F,PL7,2018,4.7,PL
F,PL8,2018,6.1,PL
F,PL9,2018,3.2,PL
F,PT1,2018,7.4,PT
F,PT2,2018,9,PT
F,PT3,2018,8.5,PT
F,RO1,2018,2.8,RO
F,RO2,2018,3.4,RO
F,RO3,2018,4.2,RO
F,RO4,2018,3.3,RO
F,RS1,2018,11.5,RS
F,RS2,2018,16.2,RS
F,SE1,2018,6.2,SE
F,SE2,2018,6.4,SE
F,SE3,2018,5.8,SE
F,SI0,2018,5.7,SI
F,SK0,2018,7,SK
F,TR1,2018,15.4,TR
F,TR2,2018,10.8,TR
F,TR3,2018,13.4,TR
F,TR4,2018,13.5,TR
F,TR5,2018,12.6,TR
F,TR6,2018,16,TR
F,TR7,2018,17.7,TR
F,TR8,2018,8.5,TR
F,TR9,2018,6.7,TR
F,TRA,2018,5.8,TR
F,TRB,2018,14.5,TR
F,TRC,2018,19.4,TR
F,UKC,2018,4.8,UK
F,UKD,2018,3.7,UK
F,UKE,2018,5.1,UK
F,UKF,2018,4.3,UK
F,UKG,2018,4.9,UK
F,UKH,2018,3.2,UK
F,UKI,2018,4.8,UK
F,UKJ,2018,3.5,UK
F,UKK,2018,3.1,UK
F,UKL,2018,3.7,UK
F,UKM,2018,3.3,UK
F,UKN,2018,2.5,UK
M,AT1,2018,7.6,AT
M,AT2,2018,3.7,AT
M,AT3,2018,2.8,AT
M,BE1,2018,14.4,BE
M,BE2,2018,3.5,BE
M,BE3,2018,8.9,BE
M,BG3,2018,8,BG
M,BG4,2018,3.5,BG
M,CH0,2018,4.4,CH
M,CY0,2018,8.1,CY
M,CZ0,2018,1.8,CZ
M,DE1,2018,2.7,DE
M,DE2,2018,2.2,DE
M,DE3,2018,6.6,DE
M,DE4,2018,5,DE
M,DE5,2018,5.3,DE
M,DE6,2018,4.6,DE
M,DE7,2018,3.7,DE
M,DE8,2018,5.6,DE
M,DE9,2018,3.7,DE
M,DEA,2018,4.5,DE
M,DEB,2018,3.5,DE
M,DEC,2018,4.1,DE
M,DED,2018,4.4,DE
M,DEE,2018,5.9,DE
M,DEF,2018,3.6,DE
M,DEG,2018,4.2,DE
M,DK0,2018,4.9,DK
M,EE0,2018,5.4,EE
M,EL3,2018,15.7,EL
M,EL4,2018,12.5,EL
M,EL5,2018,16.8,EL
M,EL6,2018,14.6,EL
M,ES1,2018,11.9,ES
M,ES2,2018,9.6,ES
M,ES3,2018,11.6,ES
M,ES4,2018,13.3,ES
M,ES5,2018,12.2,ES
