offense,defense,type,yardsPlay,successPlay,quarter,offensePointsAhead,down,yardsToGo,yardsOwnGoal,shotgunPlay,yardsDrive,playsDrive,driveRushes,drivePasses,resultDrive,week
GB,CHI,RUSH,0.0,0,1,0,1.0,10.0,25.0,0,-10,3,1,2,PUNT,1
GB,CHI,PASS,0.0,0,1,0,1.0,10.0,12.0,1,-7,3,1,2,PUNT,1
CHI,GB,RUSH,4.0,1,1,0,1.0,10.0,64.0,1,16,6,4,1,FG,1
GB,CHI,PASS,0.0,0,1,-3,1.0,10.0,40.0,0,5,3,0,3,PUNT,1
CHI,GB,RUSH,1.0,0,1,3,1.0,10.0,4.0,1,25,7,3,4,PUNT,1
GB,CHI,PASS,47.0,1,2,-3,1.0,10.0,26.0,0,74,4,0,4,TD,1
CHI,GB,PASS,27.0,1,2,-4,1.0,10.0,25.0,1,34,4,1,3,PUNT,1
GB,CHI,PASS,9.0,1,2,4,1.0,10.0,4.0,0,22,8,3,5,PUNT,1
CHI,GB,PASS,9.0,1,2,-4,1.0,10.0,11.0,1,12,5,0,5,PUNT,1
GB,CHI,RUSH,3.0,0,2,4,1.0,10.0,35.0,1,19,6,1,5,PUNT,1
CHI,GB,PASS,3.0,0,2,-4,1.0,10.0,15.0,1,0,3,0,3,PUNT,1
GB,CHI,PASS,16.0,1,2,4,1.0,10.0,33.0,1,16,2,0,2,ENDQ,1
CHI,GB,RUSH,0.0,0,3,-4,1.0,10.0,25.0,0,2,3,1,2,PUNT,1
GB,CHI,RUSH,3.0,0,3,4,1.0,10.0,34.0,0,19,4,1,3,PUNT,1
CHI,GB,RUSH,8.0,1,3,-4,1.0,10.0,10.0,1,9,3,2,1,PUNT,1
GB,CHI,RUSH,0.0,0,3,4,1.0,10.0,42.0,1,-10,3,1,2,PUNT,1
CHI,GB,PASS,22.0,1,3,-4,1.0,10.0,23.0,1,47,6,1,5,DWNS,1
GB,CHI,RUSH,9.0,1,3,4,1.0,10.0,30.0,0,20,7,4,3,PUNT,1
CHI,GB,PASS,0.0,0,4,-4,1.0,10.0,13.0,1,23,6,0,6,PUNT,1
GB,CHI,RUSH,1.0,0,4,4,1.0,10.0,6.0,0,73,10,6,3,FG,1
CHI,GB,PASS,6.0,1,4,-7,1.0,10.0,25.0,1,59,13,0,13,INT,1
GB,CHI,RUSH,5.0,1,4,7,1.0,10.0,20.0,0,7,3,2,1,PUNT,1
CHI,GB,PASS,2.0,0,4,-7,1.0,10.0,14.0,1,-9,4,0,4,DWNS,1
GB,CHI,RUSH,-1.0,0,4,7,1.0,5.0,95.0,0,-2,2,2,0,ENDQ,1
ATL,MIN,PASS,-8.0,0,1,0,1.0,10.0,25.0,0,8,3,2,1,BLPU,1
ATL,MIN,RUSH,4.0,1,1,-7,1.0,10.0,16.0,0,12,3,2,1,INT,1
MIN,ATL,PASS,1.0,0,1,7,1.0,10.0,59.0,0,41,4,2,2,TD,1
ATL,MIN,RUSH,2.0,0,1,-14,1.0,10.0,25.0,0,34,11,3,8,PUNT,1
MIN,ATL,RUSH,3.0,0,1,14,1.0,10.0,8.0,0,24,7,6,1,PUNT,1
ATL,MIN,PASS,14.0,1,2,-14,1.0,10.0,28.0,0,51,4,2,2,FUM,1
MIN,ATL,RUSH,1.0,0,2,14,1.0,10.0,21.0,0,79,10,8,2,TD,1
ATL,MIN,RUSH,16.0,1,2,-21,1.0,10.0,25.0,0,20,7,2,5,PUNT,1
MIN,ATL,RUSH,2.0,0,2,21,1.0,10.0,10.0,1,0,3,3,0,PUNT,1
ATL,MIN,PASS,0.0,0,2,-21,1.0,10.0,45.0,1,36,3,0,3,ENDQ,1
MIN,ATL,RUSH,3.0,0,3,21,1.0,10.0,25.0,0,23,6,4,2,PUNT,1
ATL,MIN,PASS,9.0,1,3,-21,1.0,10.0,15.0,0,82,13,5,8,INT,1
MIN,ATL,PASS,8.0,1,3,21,1.0,10.0,20.0,0,80,6,4,2,TD,1
ATL,MIN,PASS,0.0,0,3,-28,1.0,10.0,23.0,1,0,3,0,3,PUNT,1
MIN,ATL,RUSH,4.0,1,4,28,1.0,10.0,25.0,0,4,3,3,0,PUNT,1
ATL,MIN,PASS,13.0,1,4,-28,1.0,10.0,34.0,1,66,9,1,7,TD,1
MIN,ATL,RUSH,2.0,0,4,22,1.0,10.0,29.0,0,20,6,6,0,PUNT,1
MIN,ATL,RUSH,-1.0,0,4,16,1.0,10.0,61.0,0,-2,2,2,0,ENDQ,1
BAL,MIA,RUSH,49.0,1,1,0,1.0,10.0,11.0,1,89,8,6,2,TD,1
MIA,BAL,PASS,0.0,0,1,-7,1.0,10.0,21.0,0,16,4,1,3,INT,1
BAL,MIA,PASS,47.0,1,1,7,1.0,10.0,53.0,1,47,1,0,1,TD,1
MIA,BAL,PASS,0.0,0,1,-14,1.0,10.0,25.0,1,7,5,2,3,PUNT,1
BAL,MIA,RUSH,4.0,1,1,14,1.0,10.0,10.0,1,90,3,2,1,TD,1
MIA,BAL,RUSH,-3.0,0,1,-21,1.0,10.0,15.0,0,28,5,1,4,PUNT,1
BAL,MIA,RUSH,3.0,0,1,21,1.0,10.0,20.0,1,80,7,4,3,TD,1
MIA,BAL,RUSH,-1.0,0,2,-28,1.0,10.0,25.0,0,39,6,2,3,FG,1
BAL,MIA,PASS,-1.0,0,2,25,1.0,10.0,25.0,1,9,3,2,1,PUNT,1
BAL,MIA,RUSH,2.0,0,2,25,1.0,10.0,90.0,1,10,3,1,2,TD,1
MIA,BAL,RUSH,9.0,1,2,-32,1.0,10.0,10.0,0,17,5,3,2,PUNT,1
BAL,MIA,RUSH,3.0,0,2,32,1.0,10.0,21.0,1,79,7,5,2,TD,1
MIA,BAL,PASS,14.0,1,2,-39,1.0,10.0,25.0,1,75,8,0,8,TD,1
BAL,MIA,RUSH,-1.0,0,2,32,1.0,10.0,25.0,0,-1,1,1,0,ENDQ,1
MIA,BAL,PASS,10.0,1,3,-32,1.0,10.0,25.0,0,5,4,1,3,PUNT,1
BAL,MIA,RUSH,4.0,1,3,32,1.0,10.0,29.0,1,71,9,3,6,TD,1
MIA,BAL,PASS,0.0,0,3,-39,1.0,10.0,25.0,0,8,6,1,5,PUNT,1
BAL,MIA,RUSH,5.0,1,3,39,1.0,10.0,16.0,1,68,9,5,3,FG,1
MIA,BAL,PASS,5.0,1,3,-42,1.0,10.0,25.0,0,5,2,0,2,INT,1
BAL,MIA,RUSH,9.0,1,4,42,1.0,10.0,58.0,1,42,9,7,2,TD,1
MIA,BAL,PASS,0.0,0,4,-49,1.0,10.0,30.0,0,-5,3,1,2,PUNT,1
BAL,MIA,RUSH,-1.0,0,4,49,1.0,10.0,21.0,1,73,14,10,4,ENDQ,1
BUF,NYJ,PASS,8.0,1,1,0,1.0,10.0,25.0,1,37,7,0,7,FUM,1
NYJ,BUF,RUSH,5.0,1,1,0,1.0,10.0,38.0,1,6,3,1,2,PUNT,1
BUF,NYJ,PASS,0.0,0,1,0,1.0,10.0,12.0,1,0,1,0,1,INT,1
BUF,NYJ,PASS,5.0,1,1,-6,1.0,10.0,25.0,1,50,9,4,5,PUNT,1
NYJ,BUF,RUSH,10.0,1,2,6,1.0,10.0,20.0,0,38,11,3,8,PUNT,1
BUF,NYJ,RUSH,9.0,1,2,-6,1.0,10.0,5.0,0,59,9,5,4,DWNS,1
NYJ,BUF,RUSH,4.0,1,2,6,1.0,10.0,37.0,1,6,3,2,1,PUNT,1
BUF,NYJ,PASS,4.0,1,2,-6,1.0,10.0,18.0,1,30,5,0,5,INT,1
NYJ,BUF,PASS,19.0,1,2,6,1.0,10.0,52.0,1,21,5,0,4,MFG,1
BUF,NYJ,RUSH,-1.0,0,2,-6,1.0,10.0,35.0,0,-1,1,1,0,ENDQ,1
BUF,NYJ,RUSH,-2.0,0,3,-6,1.0,10.0,2.0,0,-2,1,1,0,SAF,1
NYJ,BUF,PASS,8.0,1,3,8,1.0,10.0,40.0,1,60,10,4,5,TD,1
BUF,NYJ,RUSH,1.0,0,3,-16,1.0,10.0,25.0,0,50,9,4,4,FG,1
NYJ,BUF,RUSH,5.0,1,3,13,1.0,10.0,25.0,0,19,6,3,3,PUNT,1
BUF,NYJ,RUSH,7.0,1,4,-13,1.0,10.0,15.0,1,85,8,5,3,TD,1
NYJ,BUF,RUSH,2.0,0,4,6,1.0,10.0,25.0,1,19,6,2,4,PUNT,1
BUF,NYJ,PASS,8.0,1,4,-6,1.0,10.0,20.0,1,80,8,1,7,TD,1
NYJ,BUF,PASS,5.0,1,4,-1,1.0,10.0,25.0,1,15,8,1,7,DWNS,1
BUF,NYJ,RUSH,1.0,0,4,1,1.0,10.0,60.0,0,5,3,3,0,PUNT,1
NYJ,BUF,PASS,5.0,1,4,-1,1.0,10.0,20.0,1,13,2,0,2,ENDQ,1
KC,JAC,RUSH,-1.0,0,1,0,1.0,10.0,25.0,1,75,3,1,2,TD,1
JAC,KC,RUSH,-1.0,0,1,-7,1.0,10.0,25.0,1,6,3,1,2,PUNT,1
KC,JAC,PASS,42.0,1,1,7,1.0,10.0,21.0,1,70,6,1,4,FG,1
JAC,KC,PASS,0.0,0,1,-10,1.0,10.0,25.0,1,75,7,1,6,TD,1
JAC,KC,RUSH,5.0,1,1,-10,1.0,10.0,25.0,0,56,9,4,4,FG,1
KC,JAC,PASS,41.0,1,2,7,1.0,10.0,25.0,0,68,7,2,4,FG,1
JAC,KC,PASS,69.0,1,2,-10,1.0,10.0,25.0,0,70,5,1,3,FG,1
KC,JAC,PASS,18.0,1,2,7,1.0,10.0,25.0,0,47,10,2,7,FG,1
JAC,KC,PASS,6.0,1,2,-10,1.0,10.0,25.0,1,1,2,0,2,ENDQ,1
JAC,KC,RUSH,6.0,1,3,-10,1.0,10.0,25.0,0,49,9,5,4,FUM,1
KC,JAC,RUSH,1.0,0,3,10,1.0,10.0,40.0,1,60,12,5,7,TD,1
KC,JAC,PASS,7.0,1,3,17,1.0,10.0,33.0,1,67,8,4,4,TD,1
JAC,KC,RUSH,2.0,0,4,-24,1.0,10.0,21.0,1,79,8,3,4,TD,1
KC,JAC,RUSH,0.0,0,4,18,1.0,10.0,54.0,1,-5,4,2,2,PUNT,1
JAC,KC,PASS,0.0,0,4,-18,1.0,10.0,20.0,1,0,1,0,1,INT,1
KC,JAC,RUSH,4.0,1,4,18,1.0,10.0,88.0,0,-5,4,2,1,FG,1
JAC,KC,PASS,9.0,1,4,-21,1.0,10.0,25.0,1,75,6,0,6,TD,1
KC,JAC,RUSH,19.0,1,4,14,1.0,10.0,53.0,0,30,5,5,0,ENDQ,1
CAR,LA,RUSH,5.0,1,1,0,1.0,10.0,25.0,1,45,6,2,4,FUM,1
LA,CAR,PASS,6.0,1,1,0,1.0,10.0,33.0,1,25,8,0,8,PUNT,1
CAR,LA,PASS,3.0,0,1,0,1.0,10.0,35.0,1,8,3,1,2,PUNT,1
LA,CAR,RUSH,0.0,0,1,0,1.0,10.0,20.0,0,0,3,1,2,PUNT,1
CAR,LA,PASS,0.0,0,1,0,1.0,10.0,25.0,1,40,9,4,4,MFG,1
LA,CAR,PASS,0.0,0,1,0,1.0,10.0,43.0,0,26,7,3,3,FG,1
LA,CAR,RUSH,5.0,1,2,3,1.0,10.0,90.0,0,10,2,2,0,TD,1
CAR,LA,RUSH,13.0,1,2,-10,1.0,10.0,32.0,0,12,4,2,2,PUNT,1
LA,CAR,RUSH,2.0,0,2,10,1.0,10.0,3.0,0,18,6,2,4,PUNT,1
CAR,LA,RUSH,1.0,0,2,-10,1.0,10.0,27.0,0,6,3,1,2,PUNT,1
LA,CAR,RUSH,1.0,0,2,10,1.0,10.0,29.0,0,33,9,4,4,FG,1
CAR,LA,PASS,-7.0,0,2,-13,1.0,10.0,25.0,1,47,8,1,6,FG,1
LA,CAR,PASS,24.0,1,3,10,1.0,10.0,25.0,0,66,7,1,5,FG,1
CAR,LA,PASS,0.0,0,3,-13,1.0,10.0,40.0,0,60,8,4,4,TD,1
LA,CAR,RUSH,7.0,1,3,6,1.0,10.0,25.0,0,75,13,6,7,TD,1
CAR,LA,PASS,0.0,0,3,-13,1.0,10.0,30.0,1,36,8,1,6,FG,1
CAR,LA,RUSH,3.0,1,4,-10,1.0,5.0,95.0,1,5,2,2,0,TD,1
LA,CAR,RUSH,6.0,1,4,3,1.0,10.0,25.0,0,26,3,2,1,INT,1
CAR,LA,RUSH,0.0,0,4,-3,1.0,10.0,29.0,1,4,3,1,2,PUNT,1
LA,CAR,RUSH,17.0,1,4,3,1.0,10.0,43.0,0,57,7,5,2,TD,1
CAR,LA,PASS,2.0,0,4,-10,1.0,10.0,25.0,1,11,3,0,3,INT,1
LA,CAR,PASS,0.0,0,4,10,1.0,10.0,68.0,0,9,4,1,2,MFG,1
CAR,LA,PASS,0.0,0,4,-10,1.0,10.0,31.0,1,69,9,3,6,TD,1
LA,CAR,RUSH,8.0,1,4,3,1.0,10.0,50.0,0,9,4,4,0,ENDQ,1
CLE,TEN,PASS,0.0,0,1,0,1.0,10.0,27.0,0,73,8,3,5,TD,1
TEN,CLE,PASS,10.0,1,1,-6,1.0,10.0,8.0,0,73,7,2,4,FG,1
CLE,TEN,PASS,8.0,1,1,3,1.0,10.0,11.0,0,-5,4,1,3,PUNT,1
TEN,CLE,RUSH,2.0,0,1,-3,1.0,10.0,45.0,0,2,3,2,1,PUNT,1
CLE,TEN,RUSH,3.0,0,1,3,1.0,10.0,7.0,0,28,5,2,3,PUNT,1
TEN,CLE,RUSH,6.0,1,2,-3,1.0,10.0,13.0,1,87,11,7,4,TD,1
CLE,TEN,RUSH,9.0,1,2,-4,1.0,10.0,30.0,1,9,3,1,2,PUNT,1
TEN,CLE,RUSH,18.0,1,2,4,1.0,10.0,15.0,0,29,7,2,5,PUNT,1
CLE,TEN,RUSH,2.0,0,2,-4,1.0,10.0,28.0,0,-3,3,1,2,PUNT,1
TEN,CLE,RUSH,-1.0,0,2,4,1.0,10.0,28.0,1,-1,3,1,2,PUNT,1
TEN,CLE,PASS,11.0,1,2,6,1.0,10.0,41.0,1,11,4,0,4,PUNT,1
CLE,TEN,PASS,7.0,1,2,-6,1.0,10.0,13.0,1,32,6,0,6,ENDQ,1
TEN,CLE,PASS,51.0,1,3,6,1.0,10.0,21.0,0,44,5,1,3,FG,1
CLE,TEN,PASS,12.0,1,3,-9,1.0,10.0,25.0,1,30,5,2,3,PUNT,1
TEN,CLE,RUSH,2.0,0,3,9,1.0,10.0,6.0,0,6,3,2,1,PUNT,1
TEN,CLE,PASS,75.0,1,3,2,1.0,10.0,25.0,0,75,1,0,1,TD,1
CLE,TEN,RUSH,8.0,1,3,-9,1.0,10.0,25.0,1,20,6,3,3,INT,1
TEN,CLE,RUSH,4.0,1,4,9,1.0,10.0,65.0,0,35,4,3,1,TD,1
CLE,TEN,RUSH,6.0,1,4,-16,1.0,10.0,25.0,1,6,3,1,2,INT,1
TEN,CLE,RUSH,7.0,1,4,16,1.0,10.0,66.0,0,34,4,3,1,TD,1
CLE,TEN,PASS,0.0,0,4,-23,1.0,10.0,28.0,1,24,8,1,7,DWNS,1
TEN,CLE,RUSH,0.0,0,4,23,1.0,10.0,48.0,0,-14,4,3,1,PUNT,1
CLE,TEN,PASS,0.0,0,4,-23,1.0,10.0,30.0,1,0,1,0,1,INT,1
CLE,TEN,RUSH,1.0,0,4,-30,1.0,10.0,25.0,0,9,4,4,0,DWNS,1
TEN,CLE,RUSH,-1.0,0,4,30,1.0,10.0,66.0,0,-2,2,2,0,ENDQ,1
WAS,PHI,RUSH,5.0,1,1,0,1.0,10.0,20.0,0,80,7,3,4,TD,1
PHI,WAS,PASS,0.0,0,1,-7,1.0,10.0,25.0,1,4,5,2,3,PUNT,1
WAS,PHI,PASS,21.0,1,1,7,1.0,10.0,20.0,0,57,11,3,7,FG,1
PHI,WAS,PASS,4.0,1,1,-10,1.0,10.0,25.0,1,46,12,5,7,DWNS,1
WAS,PHI,RUSH,2.0,0,2,10,1.0,10.0,29.0,0,71,2,1,1,TD,1
PHI,WAS,PASS,2.0,0,2,-17,1.0,10.0,25.0,0,7,3,1,2,PUNT,1
PHI,WAS,RUSH,0.0,0,2,-17,1.0,10.0,38.0,0,62,5,1,4,TD,1
WAS,PHI,PASS,0.0,0,2,10,1.0,10.0,25.0,0,9,3,2,1,PUNT,1
PHI,WAS,PASS,0.0,0,2,-10,1.0,10.0,18.0,1,5,3,0,3,PUNT,1
WAS,PHI,PASS,7.0,1,2,10,1.0,10.0,29.0,1,41,9,0,8,FG,1
PHI,WAS,RUSH,3.0,0,3,-13,1.0,10.0,25.0,1,75,12,9,3,TD,1
WAS,PHI,RUSH,0.0,0,3,6,1.0,10.0,25.0,0,1,3,2,1,PUNT,1
PHI,WAS,PASS,0.0,0,3,-6,1.0,10.0,47.0,0,53,3,0,3,TD,1
WAS,PHI,PASS,0.0,0,3,-1,1.0,10.0,27.0,0,0,3,0,3,PUNT,1
PHI,WAS,PASS,5.0,1,3,1,1.0,10.0,29.0,0,71,10,4,5,TD,1
WAS,PHI,PASS,7.0,1,4,-9,1.0,10.0,21.0,1,4,4,1,3,PUNT,1
PHI,WAS,RUSH,-5.0,0,4,9,1.0,10.0,22.0,0,74,19,8,10,FG,1
WAS,PHI,PASS,13.0,1,4,-12,1.0,10.0,25.0,1,75,16,0,16,TD,1
PHI,WAS,RUSH,-1.0,0,4,5,1.0,10.0,60.0,0,-1,1,1,0,ENDQ,1
CIN,SEA,PASS,3.0,0,1,0,1.0,10.0,25.0,1,24,7,0,7,PUNT,1
SEA,CIN,RUSH,1.0,0,1,0,1.0,10.0,20.0,1,7,3,1,2,PUNT,1
SEA,CIN,RUSH,3.0,0,1,-3,1.0,10.0,25.0,1,-2,3,2,1,PUNT,1
SEA,CIN,PASS,8.0,1,1,-3,1.0,10.0,57.0,1,-1,5,1,4,PUNT,1
SEA,CIN,RUSH,5.0,1,2,-3,1.0,10.0,52.0,0,48,7,5,2,TD,1
CIN,SEA,PASS,6.0,1,2,-4,1.0,10.0,25.0,1,75,3,0,3,TD,1
SEA,CIN,RUSH,0.0,0,2,-3,1.0,10.0,25.0,1,5,3,2,1,PUNT,1
CIN,SEA,RUSH,6.0,1,2,3,1.0,10.0,30.0,1,9,3,2,1,PUNT,1
SEA,CIN,PASS,7.0,1,2,-3,1.0,10.0,23.0,1,77,6,1,5,TD,1
CIN,SEA,PASS,3.0,0,2,-4,1.0,10.0,25.0,1,75,4,0,4,TD,1
SEA,CIN,RUSH,-1.0,0,2,-3,1.0,10.0,25.0,0,-1,1,1,0,ENDQ,1
SEA,CIN,PASS,11.0,0,3,-3,1.0,10.0,25.0,0,11,1,0,1,FUM,1
CIN,SEA,PASS,15.0,1,3,3,1.0,10.0,72.0,0,9,3,1,2,FUM,1
SEA,CIN,RUSH,-6.0,0,3,-3,1.0,10.0,24.0,0,-5,3,2,1,PUNT,1
CIN,SEA,RUSH,-3.0,0,3,3,1.0,10.0,30.0,0,43,7,5,1,MFG,1
SEA,CIN,PASS,-9.0,0,3,-3,1.0,10.0,35.0,0,-5,3,0,3,PUNT,1
CIN,SEA,RUSH,11.0,1,3,3,1.0,10.0,8.0,0,56,9,2,7,DWNS,1
SEA,CIN,RUSH,5.0,1,3,-3,1.0,10.0,36.0,1,64,4,2,2,TD,1
CIN,SEA,PASS,-8.0,0,4,-4,1.0,10.0,25.0,0,67,13,1,11,FG,1
SEA,CIN,PASS,0.0,0,4,1,1.0,10.0,25.0,1,6,3,1,2,PUNT,1
CIN,SEA,PASS,7.0,1,4,-1,1.0,10.0,29.0,0,15,6,0,6,PUNT,1
SEA,CIN,RUSH,5.0,1,4,1,1.0,10.0,6.0,1,29,6,6,0,PUNT,1
CIN,SEA,PASS,6.0,1,4,-1,1.0,10.0,25.0,1,6,2,0,2,FUM,1
SEA,CIN,RUSH,-1.0,0,4,1,1.0,10.0,56.0,0,-1,1,1,0,ENDQ,1
LAC,IND,RUSH,2.0,0,1,0,1.0,10.0,39.0,1,-2,3,1,2,PUNT,1
IND,LAC,PASS,3.0,0,1,0,1.0,10.0,14.0,1,5,5,2,3,PUNT,1
LAC,IND,PASS,9.0,1,1,0,1.0,10.0,32.0,0,68,11,5,6,TD,1
IND,LAC,PASS,8.0,1,1,-7,1.0,10.0,25.0,1,75,14,7,7,TD,1
LAC,IND,PASS,27.0,1,2,1,1.0,10.0,25.0,0,75,6,1,5,TD,1
IND,LAC,RUSH,0.0,0,2,-8,1.0,10.0,25.0,0,1,3,2,1,PUNT,1
LAC,IND,PASS,0.0,0,2,8,1.0,10.0,54.0,1,24,10,3,6,FG,1
IND,LAC,PASS,25.0,1,2,-11,1.0,10.0,21.0,1,51,5,0,4,MFG,1
IND,LAC,RUSH,25.0,1,3,-11,1.0,10.0,25.0,1,49,8,6,1,FG,1
LAC,IND,RUSH,0.0,0,3,8,1.0,10.0,25.0,1,75,4,1,3,TD,1
IND,LAC,PASS,12.0,1,3,-15,1.0,10.0,25.0,1,75,2,1,1,TD,1
LAC,IND,RUSH,-2.0,0,3,8,1.0,10.0,25.0,0,17,5,2,3,PUNT,1
IND,LAC,PASS,9.0,1,3,-8,1.0,10.0,10.0,1,23,5,1,4,PUNT,1
IND,LAC,PASS,0.0,0,3,-8,1.0,10.0,73.0,1,16,7,3,3,MFG,1
LAC,IND,PASS,21.0,1,4,8,1.0,10.0,20.0,1,73,8,2,6,INT,1
IND,LAC,RUSH,7.0,1,4,-8,1.0,10.0,20.0,1,80,17,11,5,TD,1
LAC,IND,PASS,8.0,1,4,0,1.0,10.0,25.0,1,20,5,1,4,ENDQ,1
LAC,IND,PASS,18.0,1,5,0,1.0,10.0,25.0,0,75,8,5,3,TD,1
DET,ARI,PASS,7.0,1,1,0,1.0,10.0,25.0,1,24,5,3,2,PUNT,1
ARI,DET,PASS,0.0,0,1,0,1.0,10.0,10.0,1,5,3,1,2,PUNT,1
DET,ARI,PASS,28.0,1,1,0,1.0,10.0,27.0,0,32,4,1,3,PUNT,1
ARI,DET,RUSH,6.0,1,1,0,1.0,10.0,1.0,1,4,6,1,5,INT,1
DET,ARI,PASS,-10.0,0,1,0,1.0,10.0,76.0,1,-10,1,0,1,FUM,1
ARI,DET,RUSH,6.0,1,1,0,1.0,10.0,34.0,0,9,3,3,0,PUNT,1
DET,ARI,RUSH,2.0,0,1,0,1.0,10.0,20.0,1,43,10,5,4,FG,1
ARI,DET,RUSH,2.0,0,2,-3,1.0,10.0,16.0,1,2,3,1,2,PUNT,1
DET,ARI,RUSH,4.0,1,2,3,1.0,10.0,49.0,0,51,2,1,1,TD,1
ARI,DET,PASS,12.0,1,2,-10,1.0,10.0,22.0,1,11,4,0,4,PUNT,1
DET,ARI,RUSH,-1.0,0,2,10,1.0,10.0,5.0,0,95,9,5,4,TD,1
ARI,DET,RUSH,1.0,0,2,-17,1.0,10.0,25.0,1,11,6,2,4,PUNT,1
ARI,DET,RUSH,7.0,1,2,-17,1.0,8.0,92.0,1,6,4,1,2,FG,1
DET,ARI,PASS,0.0,0,2,14,1.0,10.0,25.0,1,17,6,0,6,PUNT,1
ARI,DET,RUSH,5.0,1,2,-14,1.0,10.0,18.0,1,5,1,1,0,ENDQ,1
ARI,DET,PASS,0.0,0,3,-14,1.0,10.0,32.0,1,-3,3,0,3,PUNT,1
ARI,DET,RUSH,3.0,0,3,-14,1.0,10.0,24.0,1,3,3,1,2,PUNT,1
DET,ARI,RUSH,-2.0,0,3,14,1.0,10.0,20.0,0,5,3,2,1,PUNT,1
ARI,DET,RUSH,18.0,1,3,-14,1.0,10.0,34.0,1,42,8,2,5,FG,1
DET,ARI,PASS,0.0,0,3,11,1.0,10.0,18.0,0,82,10,3,7,TD,1
ARI,DET,PASS,0.0,0,4,-18,1.0,10.0,26.0,1,58,10,3,6,FG,1
DET,ARI,RUSH,4.0,1,4,15,1.0,10.0,29.0,0,7,3,2,1,PUNT,1
ARI,DET,PASS,5.0,1,4,-15,1.0,10.0,30.0,1,70,7,0,7,TD,1
DET,ARI,RUSH,3.0,1,4,8,1.0,10.0,17.0,1,32,8,6,2,PUNT,1
ARI,DET,PASS,3.0,0,4,-8,1.0,10.0,40.0,1,60,10,3,6,TD,1
DET,ARI,PASS,12.0,1,4,0,1.0,10.0,25.0,1,12,4,0,4,PUNT,1
ARI,DET,RUSH,7.0,1,5,0,1.0,10.0,25.0,1,65,7,2,4,FG,1
DET,ARI,PASS,21.0,1,5,-3,1.0,10.0,25.0,1,60,8,3,4,FG,1
ARI,DET,PASS,5.0,1,5,0,1.0,10.0,25.0,1,29,9,2,7,PUNT,1
DET,ARI,PASS,7.0,1,5,0,1.0,10.0,5.0,1,5,6,0,6,DWNS,1
DAL,NYG,PASS,13.0,1,1,0,1.0,10.0,25.0,0,29,6,2,4,PUNT,1
NYG,DAL,PASS,8.0,1,1,0,1.0,10.0,9.0,0,91,7,3,4,TD,1
DAL,NYG,RUSH,6.0,1,1,-7,1.0,10.0,25.0,0,75,11,3,8,TD,1
NYG,DAL,PASS,19.0,1,1,0,1.0,10.0,25.0,0,40,6,2,4,PUNT,1
DAL,NYG,RUSH,2.0,0,1,0,1.0,10.0,7.0,0,93,9,3,6,TD,1
NYG,DAL,PASS,11.0,1,2,-7,1.0,10.0,25.0,0,17,4,1,3,PUNT,1
DAL,NYG,PASS,6.0,1,2,7,1.0,10.0,17.0,0,83,13,5,8,TD,1
NYG,DAL,PASS,6.0,1,2,-14,1.0,10.0,25.0,1,31,8,0,8,DWNS,1
NYG,DAL,PASS,43.0,1,3,-14,1.0,10.0,15.0,1,75,11,3,7,FG,1
DAL,NYG,PASS,45.0,1,3,11,1.0,10.0,25.0,1,75,3,1,2,TD,1
NYG,DAL,PASS,17.0,1,3,-18,1.0,10.0,25.0,1,64,9,3,6,DWNS,1
DAL,NYG,RUSH,1.0,0,3,18,1.0,10.0,11.0,0,89,7,5,2,TD,1
NYG,DAL,PASS,9.0,1,3,-25,1.0,10.0,13.0,1,21,6,1,5,PUNT,1
DAL,NYG,RUSH,5.0,1,4,25,1.0,10.0,34.0,0,22,5,3,2,PUNT,1
NYG,DAL,PASS,1.0,0,4,-25,1.0,10.0,10.0,1,12,5,0,5,PUNT,1
DAL,NYG,RUSH,2.0,0,4,25,1.0,10.0,38.0,0,-5,3,3,0,PUNT,1
NYG,DAL,RUSH,13.0,1,4,-25,1.0,10.0,25.0,1,75,6,3,3,TD,1
DAL,NYG,RUSH,1.0,0,4,18,1.0,10.0,16.0,0,0,3,3,0,PUNT,1
NYG,DAL,PASS,5.0,1,4,-18,1.0,10.0,39.0,1,22,5,1,4,FUM,1
DAL,NYG,RUSH,-1.0,0,4,18,1.0,10.0,38.0,0,-2,2,2,0,ENDQ,1
TB,SF,RUSH,3.0,0,1,0,1.0,10.0,24.0,0,6,3,1,2,PUNT,1
SF,TB,RUSH,1.0,0,1,0,1.0,10.0,67.0,1,22,6,2,3,FG,1
TB,SF,RUSH,1.0,0,1,-3,1.0,10.0,18.0,0,34,8,4,4,PUNT,1
SF,TB,RUSH,12.0,1,1,3,1.0,10.0,9.0,0,20,4,2,2,PUNT,1
TB,SF,RUSH,6.0,1,1,-3,1.0,10.0,17.0,0,74,16,6,10,FUM,1
SF,TB,RUSH,0.0,0,2,3,1.0,10.0,8.0,0,4,6,3,3,INT,1
SF,TB,PASS,31.0,1,2,-4,1.0,10.0,25.0,1,57,11,5,5,FG,1
TB,SF,PASS,0.0,0,2,1,1.0,10.0,25.0,0,0,1,0,1,INT,1
SF,TB,RUSH,5.0,1,2,-1,1.0,10.0,71.0,0,4,6,2,4,FUM,1
TB,SF,RUSH,-1.0,0,2,1,1.0,10.0,29.0,0,-1,1,1,0,ENDQ,1
SF,TB,RUSH,2.0,0,3,-1,1.0,10.0,25.0,0,75,7,3,4,TD,1
