sex,location,year,unemployment,country
F,AT11,2019,,AT
F,AT12,2019,4,AT
F,AT13,2019,8.3,AT
F,AT21,2019,4.4,AT
F,AT22,2019,3.5,AT
F,AT31,2019,2.9,AT
F,AT32,2019,2.2,AT
F,AT33,2019,2.2,AT
F,AT34,2019,3.2,AT
F,BE10,2019,12.5,BE
F,BE21,2019,3.2,BE
F,BE22,2019,3.7,BE
F,BE23,2019,2.5,BE
F,BE24,2019,3.6,BE
F,BE25,2019,3.1,BE
F,BE31,2019,5,BE
F,BE32,2019,7.1,BE
F,BE33,2019,5.7,BE
F,BE34,2019,4.8,BE
F,BE35,2019,5.6,BE
F,BG31,2019,9.4,BG
F,BG32,2019,4.7,BG
F,BG33,2019,6.7,BG
F,BG34,2019,3.4,BG
F,BG41,2019,2,BG
F,BG42,2019,2.8,BG
F,CH01,2019,7.6,CH
F,CH02,2019,3.8,CH
F,CH03,2019,4.1,CH
F,CH04,2019,4.7,CH
F,CH05,2019,3.8,CH
F,CH06,2019,2.9,CH
F,CH07,2019,7.8,CH
F,CY00,2019,8,CY
F,CZ01,2019,1.5,CZ
F,CZ02,2019,1.5,CZ
F,CZ03,2019,1.9,CZ
F,CZ04,2019,3.7,CZ
F,CZ05,2019,1.9,CZ
F,CZ06,2019,2.6,CZ
F,CZ07,2019,2.4,CZ
F,CZ08,2019,4,CZ
F,DE11,2019,2,DE
F,DE12,2019,2.8,DE
F,DE13,2019,1.9,DE
F,DE14,2019,1.6,DE
F,DE21,2019,1.8,DE
F,DE22,2019,1.8,DE
F,DE23,2019,2.1,DE
F,DE24,2019,1.9,DE
F,DE25,2019,2.2,DE
F,DE26,2019,2.1,DE
F,DE27,2019,2.1,DE
F,DE30,2019,4.8,DE
F,DE40,2019,2.6,DE
F,DE50,2019,,DE
F,DE60,2019,3.2,DE
F,DE71,2019,2.9,DE
F,DE72,2019,2.6,DE
F,DE73,2019,2.3,DE
F,DE80,2019,3.5,DE
F,DE91,2019,3,DE
F,DE92,2019,2.5,DE
F,DE93,2019,2.1,DE
F,DE94,2019,2.7,DE
F,DEA1,2019,3.1,DE
F,DEA2,2019,2.7,DE
F,DEA3,2019,2.7,DE
F,DEA4,2019,2.6,DE
F,DEA5,2019,3.3,DE
F,DEB1,2019,1.9,DE
F,DEB2,2019,,DE
F,DEB3,2019,2.9,DE
F,Dec-00,2019,3.1,DE
F,DED2,2019,3.4,DE
F,DED4,2019,3.2,DE
F,DED5,2019,4.4,DE
F,DEE0,2019,4.2,DE
F,DEF0,2019,2.3,DE
F,DEG0,2019,3.4,DE
F,DK01,2019,5.2,DK
F,DK02,2019,5.3,DK
F,DK03,2019,4.8,DK
F,DK04,2019,5.1,DK
F,DK05,2019,6.7,DK
F,EA19,2019,8,EA
F,EE00,2019,4.8,EE
F,EL30,2019,20.1,EL
F,EL41,2019,23.8,EL
F,EL42,2019,18.1,EL
F,EL43,2019,14.6,EL
F,EL51,2019,20.4,EL
F,EL52,2019,24.3,EL
F,EL53,2019,32.9,EL
F,EL54,2019,18.6,EL
F,EL61,2019,23.6,EL
F,EL62,2019,16.5,EL
