FIPStxt,Stabr,area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013, Civilian_labor_force_2019 , Employed_2019 , Unemployed_2019 ,Unemployment_rate_2019,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
31157,NE,"Scotts Bluff County, NE",5,8,0,"18,287","17,614",673,3.7,"50,247",84.1
31159,NE,"Seward County, NE",2,2,1,"8,931","8,669",262,2.9,"71,024",118.9
31161,NE,"Sheridan County, NE",9,12,0,"2,673","2,599",74,2.8,"43,819",73.4
31163,NE,"Sherman County, NE",8,7,0,"1,691","1,637",54,3.2,"47,499",79.5
31165,NE,"Sioux County, NE",9,8,0,746,725,21,2.8,"50,861",85.2
31167,NE,"Stanton County, NE",9,8,0,"3,507","3,416",91,2.6,"66,228",110.9
31169,NE,"Thayer County, NE",9,12,0,"2,787","2,713",74,2.7,"51,299",85.9
31171,NE,"Thomas County, NE",9,10,0,423,408,15,3.5,"48,275",80.8
31173,NE,"Thurston County, NE",8,7,0,"3,058","2,920",138,4.5,"45,405",76.0
31175,NE,"Valley County, NE",9,12,0,"2,125","2,057",68,3.2,"48,604",81.4
31177,NE,"Washington County, NE",2,2,1,"11,279","10,950",329,2.9,"77,838",130.3
31179,NE,"Wayne County, NE",6,6,0,"5,749","5,599",150,2.6,"55,970",93.7
31181,NE,"Webster County, NE",9,10,0,"1,678","1,619",59,3.5,"45,058",75.4
31183,NE,"Wheeler County, NE",9,12,0,572,556,16,2.8,"53,369",89.4
31185,NE,"York County, NE",6,6,0,"7,278","7,083",195,2.7,"61,478",102.9
